in s,CH1 in V
-7.120E-05,9.700E-01
-7.080E-05,9.900E-01
-7.040E-05,1.010E+00
-7.000E-05,9.900E-01
-6.960E-05,9.700E-01
-6.920E-05,9.700E-01
-6.880E-05,9.700E-01
-6.840E-05,9.700E-01
-6.800E-05,9.700E-01
-6.760E-05,9.700E-01
-6.720E-05,9.700E-01
-6.680E-05,9.700E-01
-6.640E-05,9.500E-01
-6.600E-05,9.500E-01
-6.560E-05,9.500E-01
-6.520E-05,9.700E-01
-6.480E-05,9.700E-01
-6.440E-05,9.500E-01
-6.400E-05,9.500E-01
-6.360E-05,9.500E-01
-6.320E-05,9.500E-01
-6.280E-05,9.700E-01
-6.240E-05,9.500E-01
-6.200E-05,9.500E-01
-6.160E-05,9.700E-01
-6.120E-05,9.500E-01
-6.080E-05,9.500E-01
-6.040E-05,9.700E-01
-6.000E-05,9.700E-01
-5.960E-05,9.500E-01
-5.920E-05,9.700E-01
-5.880E-05,9.500E-01
-5.840E-05,9.700E-01
-5.800E-05,9.500E-01
-5.760E-05,9.700E-01
-5.720E-05,9.700E-01
-5.680E-05,9.700E-01
-5.640E-05,9.700E-01
-5.600E-05,9.700E-01
-5.560E-05,9.700E-01
-5.520E-05,9.700E-01
-5.480E-05,9.700E-01
-5.440E-05,9.700E-01
-5.400E-05,9.700E-01
-5.360E-05,9.700E-01
-5.320E-05,9.700E-01
-5.280E-05,9.700E-01
-5.240E-05,9.700E-01
-5.200E-05,9.700E-01
-5.160E-05,9.700E-01
-5.120E-05,9.700E-01
-5.080E-05,9.700E-01
-5.040E-05,9.700E-01
-5.000E-05,9.700E-01
-4.960E-05,9.900E-01
-4.920E-05,9.700E-01
-4.880E-05,9.900E-01
-4.840E-05,1.050E+00
-4.800E-05,1.030E+00
-4.760E-05,1.070E+00
-4.720E-05,1.030E+00
-4.680E-05,9.900E-01
-4.640E-05,9.700E-01
-4.600E-05,9.900E-01
-4.560E-05,9.900E-01
-4.520E-05,1.010E+00
-4.480E-05,9.900E-01
-4.440E-05,9.900E-01
-4.400E-05,9.700E-01
-4.360E-05,9.700E-01
-4.320E-05,9.700E-01
-4.280E-05,9.700E-01
-4.240E-05,9.700E-01
-4.200E-05,9.700E-01
-4.160E-05,9.700E-01
-4.120E-05,9.500E-01
-4.080E-05,9.500E-01
-4.040E-05,9.500E-01
-4.000E-05,9.700E-01
-3.960E-05,9.500E-01
-3.920E-05,9.700E-01
-3.880E-05,9.500E-01
-3.840E-05,9.500E-01
-3.800E-05,9.500E-01
-3.760E-05,9.500E-01
-3.720E-05,9.500E-01
-3.680E-05,9.700E-01
-3.640E-05,9.700E-01
-3.600E-05,9.700E-01
-3.560E-05,9.500E-01
-3.520E-05,9.700E-01
-3.480E-05,9.500E-01
-3.440E-05,9.500E-01
-3.400E-05,9.700E-01
-3.360E-05,9.900E-01
-3.320E-05,-3.000E-02
-3.280E-05,1.000E-02
-3.240E-05,-1.000E-02
-3.200E-05,-1.000E-02
-3.160E-05,-1.000E-02
-3.120E-05,-1.000E-02
-3.080E-05,-1.000E-02
-3.040E-05,-1.000E-02
-3.000E-05,-1.000E-02
-2.960E-05,-1.000E-02
-2.920E-05,-1.000E-02
-2.880E-05,-1.000E-02
-2.840E-05,-1.000E-02
-2.800E-05,-1.000E-02
-2.760E-05,-1.000E-02
-2.720E-05,-1.000E-02
-2.680E-05,-1.000E-02
-2.640E-05,-1.000E-02
-2.600E-05,-1.000E-02
-2.560E-05,-1.000E-02
-2.520E-05,-1.000E-02
-2.480E-05,-1.000E-02
-2.440E-05,-1.000E-02
-2.400E-05,-1.000E-02
-2.360E-05,1.000E-02
-2.320E-05,-1.000E-02
-2.280E-05,-1.000E-02
-2.240E-05,8.500E-01
-2.200E-05,1.490E+00
-2.160E-05,1.830E+00
-2.120E-05,2.210E+00
-2.080E-05,2.510E+00
-2.040E-05,2.770E+00
-2.000E-05,3.030E+00
-1.960E-05,3.290E+00
-1.920E-05,3.550E+00
-1.880E-05,3.550E+00
-1.840E-05,3.550E+00
-1.800E-05,3.550E+00
-1.760E-05,3.550E+00
-1.720E-05,3.550E+00
-1.680E-05,3.550E+00
-1.640E-05,3.550E+00
-1.600E-05,3.550E+00
-1.560E-05,3.550E+00
-1.520E-05,3.550E+00
-1.480E-05,3.550E+00
-1.440E-05,3.550E+00
-1.400E-05,3.550E+00
-1.360E-05,3.550E+00
-1.320E-05,3.550E+00
-1.280E-05,3.550E+00
-1.240E-05,3.550E+00
-1.200E-05,3.550E+00
-1.160E-05,3.550E+00
-1.120E-05,3.550E+00
