in s,CH1 in V,CH2 in V
-5.960E-03,-2.000E-02,-2.700E+00
-5.944E-03,-6.000E-02,-2.660E+00
-5.928E-03,-6.000E-02,-2.700E+00
-5.912E-03,-2.000E-02,-2.660E+00
-5.896E-03,-6.000E-02,-2.660E+00
-5.880E-03,-6.000E-02,-2.700E+00
-5.864E-03,-6.000E-02,-2.700E+00
-5.848E-03,-6.000E-02,-2.700E+00
-5.832E-03,-6.000E-02,-2.700E+00
-5.816E-03,-2.000E-02,-2.700E+00
-5.800E-03,-6.000E-02,-2.700E+00
-5.784E-03,-6.000E-02,-2.660E+00
-5.768E-03,-2.000E-02,-2.660E+00
-5.752E-03,-6.000E-02,-2.700E+00
-5.736E-03,-6.000E-02,-2.700E+00
-5.720E-03,-6.000E-02,-2.700E+00
-5.704E-03,-6.000E-02,-2.700E+00
-5.688E-03,-6.000E-02,-2.700E+00
-5.672E-03,-6.000E-02,-2.660E+00
-5.656E-03,-6.000E-02,-2.700E+00
-5.640E-03,-6.000E-02,-2.660E+00
-5.624E-03,-6.000E-02,-2.700E+00
-5.608E-03,-6.000E-02,-2.700E+00
-5.592E-03,-6.000E-02,-2.700E+00
-5.576E-03,-2.000E-02,-2.700E+00
-5.560E-03,-6.000E-02,-2.700E+00
-5.544E-03,-6.000E-02,-2.700E+00
-5.528E-03,-6.000E-02,-2.700E+00
-5.512E-03,-6.000E-02,-2.660E+00
-5.496E-03,-6.000E-02,-2.700E+00
-5.480E-03,-2.000E-02,-2.700E+00
-5.464E-03,-6.000E-02,-2.660E+00
-5.448E-03,-6.000E-02,-2.660E+00
-5.432E-03,-6.000E-02,-2.700E+00
-5.416E-03,-6.000E-02,-2.700E+00
-5.400E-03,-6.000E-02,-2.700E+00
-5.384E-03,-6.000E-02,-2.700E+00
-5.368E-03,-2.000E-02,-2.660E+00
-5.353E-03,-6.000E-02,-2.700E+00
-5.337E-03,-6.000E-02,-2.700E+00
-5.321E-03,-6.000E-02,-2.700E+00
-5.305E-03,-6.000E-02,-2.660E+00
-5.289E-03,-6.000E-02,-2.700E+00
-5.273E-03,-2.000E-02,-2.700E+00
-5.257E-03,-2.000E-02,-2.700E+00
-5.241E-03,-2.000E-02,-2.700E+00
-5.225E-03,-6.000E-02,-2.660E+00
-5.209E-03,-6.000E-02,-2.700E+00
-5.193E-03,-6.000E-02,-2.700E+00
-5.177E-03,-6.000E-02,-2.700E+00
-5.161E-03,-2.000E-02,-2.700E+00
-5.145E-03,-2.000E-02,-2.700E+00
-5.129E-03,-6.000E-02,-2.700E+00
-5.113E-03,-2.000E-02,-2.660E+00
-5.097E-03,-6.000E-02,-2.660E+00
-5.081E-03,-6.000E-02,-2.700E+00
-5.065E-03,-6.000E-02,-2.660E+00
-5.049E-03,1.180E+00,-2.500E+00
-5.033E-03,1.660E+00,-2.620E+00
-5.017E-03,1.260E+00,-2.660E+00
-5.001E-03,1.220E+00,-2.700E+00
-4.985E-03,1.220E+00,-2.700E+00
-4.969E-03,1.140E+00,-2.700E+00
-4.953E-03,1.220E+00,-2.660E+00
-4.937E-03,1.180E+00,-2.700E+00
-4.921E-03,1.180E+00,-2.700E+00
-4.905E-03,1.300E+00,-2.700E+00
-4.889E-03,1.180E+00,-2.700E+00
-4.873E-03,1.180E+00,-2.700E+00
-4.857E-03,1.220E+00,-2.660E+00
-4.841E-03,1.220E+00,-2.700E+00
-4.825E-03,1.220E+00,-2.700E+00
-4.809E-03,1.220E+00,-2.700E+00
-4.793E-03,1.220E+00,-2.700E+00
-4.777E-03,1.220E+00,-2.700E+00
-4.761E-03,1.180E+00,-2.700E+00
-4.745E-03,1.180E+00,-2.700E+00
-4.729E-03,1.220E+00,-2.700E+00
-4.713E-03,1.180E+00,-2.700E+00
-4.697E-03,1.220E+00,-2.700E+00
-4.681E-03,1.220E+00,-2.700E+00
-4.665E-03,1.180E+00,-2.700E+00
-4.649E-03,1.260E+00,-2.700E+00
-4.633E-03,1.220E+00,-2.700E+00
-4.617E-03,1.180E+00,-2.700E+00
-4.601E-03,1.300E+00,-2.700E+00
-4.585E-03,1.180E+00,-2.700E+00
-4.569E-03,1.220E+00,-2.700E+00
-4.553E-03,1.220E+00,-2.700E+00
-4.537E-03,1.180E+00,-2.700E+00
-4.521E-03,1.260E+00,-2.700E+00
-4.505E-03,1.220E+00,-2.700E+00
-4.489E-03,1.180E+00,-2.700E+00
-4.473E-03,1.300E+00,-2.660E+00
-4.457E-03,1.180E+00,-2.700E+00
-4.441E-03,1.180E+00,-2.700E+00
-4.425E-03,-2.000E-02,-2.700E+00
-4.409E-03,-2.000E-02,-2.700E+00
-4.393E-03,1.740E+00,-2.700E+00
-4.377E-03,2.340E+00,-2.660E+00
-4.361E-03,2.380E+00,-2.700E+00
-4.345E-03,2.460E+00,-2.660E+00
-4.329E-03,2.420E+00,-2.700E+00
-4.313E-03,2.460E+00,-2.700E+00
-4.297E-03,2.460E+00,-2.700E+00
-4.281E-03,2.460E+00,-2.700E+00
-4.265E-03,2.460E+00,-2.700E+00
-4.249E-03,2.460E+00,-2.700E+00
-4.233E-03,2.420E+00,-2.660E+00
-4.217E-03,2.500E+00,-2.700E+00
-4.201E-03,2.460E+00,-2.700E+00
-4.185E-03,2.460E+00,-2.700E+00
-4.169E-03,2.460E+00,-2.700E+00
-4.153E-03,2.420E+00,-2.700E+00
-4.137E-03,2.500E+00,-2.700E+00
-4.121E-03,2.460E+00,-2.700E+00
-4.105E-03,2.420E+00,-2.700E+00
-4.089E-03,2.500E+00,-2.700E+00
-4.073E-03,2.460E+00,-2.700E+00
-4.057E-03,2.460E+00,-2.700E+00
-4.041E-03,2.500E+00,-2.700E+00
-4.025E-03,2.460E+00,-2.700E+00
-4.009E-03,2.460E+00,-2.700E+00
-3.993E-03,2.460E+00,-2.700E+00
-3.977E-03,2.460E+00,-2.700E+00
-3.961E-03,2.500E+00,-2.700E+00
-3.945E-03,2.460E+00,-2.700E+00
-3.929E-03,2.420E+00,-2.700E+00
-3.913E-03,2.580E+00,-2.700E+00
-3.897E-03,2.460E+00,-2.700E+00
-3.881E-03,2.460E+00,-2.660E+00
-3.865E-03,2.460E+00,-2.700E+00
-3.849E-03,2.460E+00,-2.700E+00
-3.833E-03,2.460E+00,-2.700E+00
-3.817E-03,2.460E+00,-2.700E+00
-3.801E-03,-2.000E-02,-2.740E+00
-3.785E-03,2.000E-02,-2.700E+00
-3.769E-03,6.200E-01,-2.700E+00
-3.754E-03,1.500E+00,-2.700E+00
-3.738E-03,1.580E+00,-2.660E+00
-3.722E-03,1.580E+00,-2.700E+00
-3.706E-03,1.620E+00,-2.700E+00
-3.690E-03,1.580E+00,-2.700E+00
-3.674E-03,1.540E+00,-2.700E+00
-3.658E-03,1.580E+00,-2.700E+00
-3.642E-03,1.580E+00,-2.700E+00
-3.626E-03,1.580E+00,-2.700E+00
-3.610E-03,1.580E+00,-2.700E+00
-3.594E-03,1.580E+00,-2.700E+00
-3.578E-03,1.620E+00,-2.700E+00
-3.562E-03,1.580E+00,-2.700E+00
-3.546E-03,1.580E+00,-2.700E+00
-3.530E-03,1.620E+00,-2.660E+00
-3.514E-03,1.620E+00,-2.700E+00
-3.498E-03,1.620E+00,-2.700E+00
-3.482E-03,1.580E+00,-2.660E+00
-3.466E-03,1.580E+00,-2.700E+00
-3.450E-03,1.580E+00,-2.700E+00
-3.434E-03,1.580E+00,-2.700E+00
-3.418E-03,1.580E+00,-2.700E+00
-3.402E-03,1.660E+00,-2.660E+00
-3.386E-03,1.580E+00,-2.700E+00
-3.370E-03,1.580E+00,-2.700E+00
-3.354E-03,1.620E+00,-2.700E+00
-3.338E-03,1.580E+00,-2.700E+00
-3.322E-03,1.620E+00,-2.700E+00
-3.306E-03,1.580E+00,-2.700E+00
-3.290E-03,1.580E+00,-2.700E+00
-3.274E-03,1.660E+00,-2.660E+00
-3.258E-03,1.580E+00,-2.700E+00
-3.242E-03,1.580E+00,-2.700E+00
-3.226E-03,1.620E+00,-2.700E+00
-3.210E-03,1.580E+00,-2.700E+00
-3.194E-03,1.580E+00,-2.660E+00
-3.178E-03,1.580E+00,-2.700E+00
-3.162E-03,-2.000E-02,-2.700E+00
-3.146E-03,2.000E-02,-2.660E+00
-3.130E-03,5.800E-01,-2.700E+00
-3.114E-03,1.180E+00,-2.700E+00
-3.098E-03,1.220E+00,-2.700E+00
-3.082E-03,1.180E+00,-2.700E+00
-3.066E-03,1.260E+00,-2.700E+00
-3.050E-03,1.220E+00,-2.700E+00
-3.034E-03,1.220E+00,-2.700E+00
-3.018E-03,1.220E+00,-2.700E+00
-3.002E-03,1.220E+00,-2.700E+00
-2.986E-03,1.220E+00,-2.660E+00
-2.970E-03,1.220E+00,-2.700E+00
-2.954E-03,1.220E+00,-2.700E+00
-2.938E-03,1.220E+00,-2.700E+00
-2.922E-03,1.220E+00,-2.700E+00
