in s,CH2 in V
-3.020E-07,2.000E-02
-3.000E-07,2.000E-02
-2.980E-07,-2.000E-02
-2.960E-07,-2.000E-02
-2.940E-07,-2.000E-02
-2.920E-07,2.000E-02
-2.900E-07,2.000E-02
-2.880E-07,-2.000E-02
-2.860E-07,-2.000E-02
-2.840E-07,2.000E-02
-2.820E-07,2.000E-02
-2.800E-07,-2.000E-02
-2.780E-07,-2.000E-02
-2.760E-07,-2.000E-02
-2.740E-07,2.000E-02
-2.720E-07,2.000E-02
-2.700E-07,-2.000E-02
-2.680E-07,-2.000E-02
-2.660E-07,2.000E-02
-2.640E-07,2.000E-02
-2.620E-07,2.000E-02
-2.600E-07,2.000E-02
-2.580E-07,2.000E-02
-2.560E-07,2.000E-02
-2.540E-07,2.000E-02
-2.520E-07,2.000E-02
-2.500E-07,2.000E-02
-2.480E-07,2.000E-02
-2.460E-07,2.000E-02
-2.440E-07,2.000E-02
-2.420E-07,2.000E-02
-2.400E-07,2.000E-02
-2.380E-07,2.000E-02
-2.360E-07,2.000E-02
-2.340E-07,-2.000E-02
-2.320E-07,2.000E-02
-2.300E-07,2.000E-02
-2.280E-07,2.000E-02
-2.260E-07,2.000E-02
-2.240E-07,2.000E-02
-2.220E-07,2.000E-02
-2.200E-07,2.000E-02
-2.180E-07,2.000E-02
-2.160E-07,2.000E-02
-2.140E-07,2.000E-02
-2.120E-07,-2.000E-02
-2.100E-07,-2.000E-02
-2.080E-07,2.000E-02
-2.060E-07,2.000E-02
-2.040E-07,2.000E-02
-2.020E-07,2.000E-02
-2.000E-07,-2.000E-02
-1.980E-07,2.000E-02
-1.960E-07,-2.000E-02
-1.940E-07,2.000E-02
-1.920E-07,2.000E-02
-1.900E-07,2.000E-02
-1.880E-07,2.000E-02
-1.860E-07,2.000E-02
-1.840E-07,2.000E-02
-1.820E-07,2.000E-02
-1.800E-07,2.000E-02
-1.780E-07,-2.000E-02
-1.760E-07,2.000E-02
-1.740E-07,2.000E-02
-1.720E-07,2.000E-02
-1.700E-07,2.000E-02
-1.680E-07,2.000E-02
-1.660E-07,-2.000E-02
-1.640E-07,2.000E-02
-1.620E-07,2.000E-02
-1.600E-07,2.000E-02
-1.580E-07,2.000E-02
-1.560E-07,-2.000E-02
-1.540E-07,-2.000E-02
-1.520E-07,-2.000E-02
-1.500E-07,2.000E-02
-1.480E-07,2.000E-02
-1.460E-07,2.000E-02
-1.440E-07,2.000E-02
-1.420E-07,-2.000E-02
-1.400E-07,-2.000E-02
-1.380E-07,-2.000E-02
-1.360E-07,2.000E-02
-1.340E-07,2.000E-02
-1.320E-07,-2.000E-02
-1.300E-07,-2.000E-02
-1.280E-07,-2.000E-02
-1.260E-07,-2.000E-02
-1.240E-07,2.000E-02
-1.220E-07,2.000E-02
-1.200E-07,2.000E-02
-1.180E-07,2.000E-02
-1.160E-07,2.000E-02
-1.140E-07,2.000E-02
-1.120E-07,2.000E-02
-1.100E-07,2.000E-02
-1.080E-07,2.000E-02
-1.060E-07,-2.000E-02
-1.040E-07,2.000E-02
-1.020E-07,2.000E-02
-1.000E-07,2.000E-02
-9.800E-08,2.000E-02
-9.600E-08,2.000E-02
-9.400E-08,2.000E-02
-9.200E-08,2.000E-02
-9.000E-08,2.000E-02
-8.800E-08,2.000E-02
-8.600E-08,2.000E-02
-8.400E-08,2.000E-02
-8.200E-08,2.000E-02
-8.000E-08,2.000E-02
-7.800E-08,2.000E-02
-7.600E-08,2.000E-02
-7.400E-08,2.000E-02
-7.200E-08,2.000E-02
-7.000E-08,2.000E-02
-6.800E-08,2.000E-02
-6.600E-08,-2.000E-02
-6.400E-08,-2.000E-02
-6.200E-08,-2.000E-02
-6.000E-08,2.000E-02
-5.800E-08,2.000E-02
-5.600E-08,2.000E-02
-5.400E-08,2.000E-02
-5.200E-08,2.000E-02
-5.000E-08,-2.000E-02
-4.800E-08,-2.000E-02
-4.600E-08,-2.000E-02
-4.400E-08,-2.000E-02
-4.200E-08,-2.000E-02
-4.000E-08,-2.000E-02
-3.800E-08,-2.000E-02
-3.600E-08,-2.000E-02
-3.400E-08,-2.000E-02
-3.200E-08,-2.000E-02
-3.000E-08,-2.000E-02
-2.800E-08,-2.000E-02
-2.600E-08,2.000E-02
-2.400E-08,6.000E-02
-2.200E-08,1.800E-01
-2.000E-08,3.000E-01
-1.800E-08,4.200E-01
-1.600E-08,5.800E-01
-1.400E-08,7.400E-01
-1.200E-08,9.000E-01
-1.000E-08,1.060E+00
-8.000E-09,1.220E+00
-6.000E-09,1.380E+00
-4.000E-09,1.540E+00
-2.000E-09,1.700E+00
1.951E-22,1.820E+00
2.000E-09,1.980E+00
4.000E-09,2.140E+00
6.000E-09,2.300E+00
8.000E-09,2.420E+00
1.000E-08,2.540E+00
1.200E-08,2.740E+00
1.400E-08,2.860E+00
1.600E-08,2.980E+00
1.800E-08,3.100E+00
2.000E-08,3.220E+00
2.200E-08,3.300E+00
2.400E-08,3.420E+00
2.600E-08,3.500E+00
2.800E-08,3.580E+00
3.000E-08,3.660E+00
3.200E-08,3.740E+00
3.400E-08,3.780E+00
3.600E-08,3.860E+00
3.800E-08,3.900E+00
4.000E-08,3.900E+00
4.200E-08,3.940E+00
4.400E-08,3.940E+00
4.600E-08,3.940E+00
4.800E-08,3.940E+00
5.000E-08,3.940E+00
5.200E-08,3.940E+00
5.400E-08,3.900E+00
5.600E-08,3.860E+00
5.800E-08,3.860E+00
6.000E-08,3.820E+00
6.200E-08,3.780E+00
6.400E-08,3.740E+00
6.600E-08,3.660E+00
6.800E-08,3.620E+00
7.000E-08,3.580E+00
7.200E-08,3.540E+00
7.400E-08,3.540E+00
7.600E-08,3.500E+00
7.800E-08,3.460E+00
8.000E-08,3.420E+00
8.200E-08,3.380E+00
8.400E-08,3.380E+00
8.600E-08,3.340E+00
8.800E-08,3.300E+00
9.000E-08,3.260E+00
9.200E-08,3.260E+00
9.400E-08,3.220E+00
9.600E-08,3.180E+00
9.800E-08,3.180E+00
1.000E-07,3.180E+00
1.020E-07,3.140E+00
1.040E-07,3.140E+00
1.060E-07,3.100E+00
1.080E-07,3.060E+00
1.100E-07,3.060E+00
1.120E-07,3.060E+00
1.140E-07,3.060E+00
1.160E-07,3.060E+00
1.180E-07,3.060E+00
1.200E-07,3.060E+00
1.220E-07,3.060E+00
1.240E-07,3.060E+00
1.260E-07,3.060E+00
1.280E-07,3.060E+00
1.300E-07,3.100E+00
1.320E-07,3.100E+00
1.340E-07,3.140E+00
1.360E-07,3.140E+00
1.380E-07,3.180E+00
1.400E-07,3.180E+00
1.420E-07,3.180E+00
1.440E-07,3.220E+00
1.460E-07,3.260E+00
1.480E-07,3.260E+00
1.500E-07,3.300E+00
1.520E-07,3.300E+00
1.540E-07,3.340E+00
1.560E-07,3.380E+00
1.580E-07,3.380E+00
1.600E-07,3.420E+00
1.620E-07,3.420E+00
1.640E-07,3.420E+00
1.660E-07,3.420E+00
1.680E-07,3.460E+00
1.700E-07,3.460E+00
1.720E-07,3.500E+00
1.740E-07,3.500E+00
