in s,CH1 in V
-1.200E-04,2.600E-03
-1.196E-04,1.800E-03
-1.192E-04,3.400E-03
-1.188E-04,2.600E-03
-1.184E-04,3.400E-03
-1.180E-04,2.600E-03
-1.176E-04,2.600E-03
-1.172E-04,2.600E-03
-1.168E-04,3.800E-03
-1.164E-04,4.200E-03
-1.160E-04,3.800E-03
-1.156E-04,2.600E-03
-1.152E-04,3.800E-03
-1.148E-04,2.200E-03
-1.144E-04,2.600E-03
-1.140E-04,3.400E-03
-1.136E-04,1.800E-03
-1.132E-04,2.200E-03
-1.128E-04,2.200E-03
-1.124E-04,6.000E-04
-1.120E-04,3.800E-03
-1.116E-04,3.800E-03
-1.112E-04,1.800E-03
-1.108E-04,3.800E-03
-1.104E-04,3.800E-03
-1.100E-04,3.000E-03
-1.096E-04,2.200E-03
-1.092E-04,3.800E-03
-1.088E-04,3.800E-03
-1.084E-04,4.200E-03
-1.080E-04,4.200E-03
-1.076E-04,3.400E-03
-1.072E-04,4.600E-03
-1.068E-04,4.600E-03
-1.064E-04,3.800E-03
-1.060E-04,2.600E-03
-1.056E-04,3.400E-03
-1.052E-04,3.000E-03
-1.048E-04,2.600E-03
-1.044E-04,4.200E-03
-1.040E-04,3.400E-03
-1.036E-04,3.400E-03
-1.032E-04,2.600E-03
-1.028E-04,3.000E-03
-1.024E-04,3.400E-03
-1.020E-04,4.200E-03
-1.016E-04,4.600E-03
-1.012E-04,2.600E-03
-1.008E-04,1.400E-03
-1.004E-04,3.400E-03
-1.000E-04,3.000E-03
-9.960E-05,5.000E-03
-9.920E-05,1.800E-03
-9.880E-05,3.000E-03
-9.840E-05,-7.400E-03
-9.800E-05,5.000E-03
-9.760E-05,1.300E-02
-9.720E-05,3.800E-03
-9.680E-05,6.200E-03
-9.640E-05,3.800E-03
-9.600E-05,5.000E-03
-9.560E-05,2.000E-04
-9.520E-05,6.000E-04
-9.480E-05,5.800E-03
-9.440E-05,1.000E-03
-9.400E-05,3.000E-03
-9.360E-05,2.200E-03
-9.320E-05,2.600E-03
-9.280E-05,2.600E-03
-9.240E-05,3.400E-03
-9.200E-05,4.600E-03
-9.160E-05,3.400E-03
-9.120E-05,1.400E-03
-9.080E-05,2.200E-03
-9.040E-05,1.000E-03
-9.000E-05,2.200E-03
-8.960E-05,2.200E-03
-8.920E-05,3.400E-03
-8.880E-05,3.400E-03
-8.840E-05,4.600E-03
-8.800E-05,3.800E-03
-8.760E-05,3.400E-03
-8.720E-05,5.000E-03
-8.680E-05,4.200E-03
-8.640E-05,1.800E-03
-8.600E-05,3.000E-03
-8.560E-05,3.400E-03
-8.520E-05,3.400E-03
-8.480E-05,2.600E-03
-8.440E-05,5.000E-03
-8.400E-05,2.600E-03
-8.360E-05,1.800E-03
-8.320E-05,3.400E-03
-8.280E-05,2.600E-03
-8.240E-05,1.000E-03
-8.200E-05,3.400E-03
-8.160E-05,2.600E-03
-8.120E-05,2.200E-03
-8.080E-05,4.200E-03
-8.040E-05,3.800E-03
-8.000E-05,1.400E-03
-7.960E-05,3.000E-03
-7.920E-05,6.600E-03
-7.880E-05,4.600E-03
-7.840E-05,4.200E-03
-7.800E-05,3.800E-03
-7.760E-05,4.600E-03
-7.720E-05,3.400E-03
