in s,CH1 in V
-6.000E-06,1.190E+01
-5.980E-06,1.190E+01
-5.960E-06,1.190E+01
-5.940E-06,1.190E+01
-5.920E-06,1.190E+01
-5.900E-06,1.190E+01
-5.880E-06,1.190E+01
-5.860E-06,1.190E+01
-5.840E-06,1.190E+01
-5.820E-06,1.190E+01
-5.800E-06,1.190E+01
-5.780E-06,1.190E+01
-5.760E-06,1.170E+01
-5.740E-06,1.190E+01
-5.720E-06,1.190E+01
-5.700E-06,1.190E+01
-5.680E-06,1.190E+01
-5.660E-06,1.190E+01
-5.640E-06,1.190E+01
-5.620E-06,1.190E+01
-5.600E-06,1.190E+01
-5.580E-06,1.190E+01
-5.560E-06,1.170E+01
-5.540E-06,1.170E+01
-5.520E-06,1.190E+01
-5.500E-06,1.190E+01
-5.480E-06,1.190E+01
-5.460E-06,1.190E+01
-5.440E-06,1.190E+01
-5.420E-06,1.190E+01
-5.400E-06,1.190E+01
-5.380E-06,1.190E+01
-5.360E-06,1.190E+01
-5.340E-06,1.190E+01
-5.320E-06,1.170E+01
-5.300E-06,1.170E+01
-5.280E-06,1.190E+01
-5.260E-06,1.190E+01
-5.240E-06,1.190E+01
-5.220E-06,1.170E+01
-5.200E-06,1.170E+01
-5.180E-06,1.190E+01
-5.160E-06,1.190E+01
-5.140E-06,1.190E+01
-5.120E-06,1.190E+01
-5.100E-06,1.190E+01
-5.080E-06,1.190E+01
-5.060E-06,1.190E+01
-5.040E-06,1.190E+01
-5.020E-06,1.190E+01
-5.000E-06,1.190E+01
-4.980E-06,1.190E+01
-4.960E-06,1.190E+01
-4.940E-06,1.190E+01
-4.920E-06,1.190E+01
-4.900E-06,1.190E+01
-4.880E-06,1.190E+01
-4.860E-06,1.190E+01
-4.840E-06,1.190E+01
-4.820E-06,1.190E+01
-4.800E-06,1.190E+01
-4.780E-06,1.190E+01
-4.760E-06,1.190E+01
-4.740E-06,1.190E+01
-4.720E-06,1.190E+01
-4.700E-06,1.190E+01
-4.680E-06,1.190E+01
-4.660E-06,1.190E+01
-4.640E-06,1.190E+01
-4.620E-06,1.190E+01
-4.600E-06,1.190E+01
-4.580E-06,1.190E+01
-4.560E-06,1.190E+01
-4.540E-06,1.190E+01
-4.520E-06,1.190E+01
-4.500E-06,1.190E+01
-4.480E-06,1.190E+01
-4.460E-06,1.190E+01
-4.440E-06,1.170E+01
-4.420E-06,1.190E+01
-4.400E-06,1.190E+01
-4.380E-06,1.190E+01
-4.360E-06,1.190E+01
-4.340E-06,1.190E+01
-4.320E-06,1.190E+01
-4.300E-06,1.190E+01
-4.280E-06,1.190E+01
-4.260E-06,1.190E+01
-4.240E-06,1.190E+01
-4.220E-06,1.190E+01
-4.200E-06,1.190E+01
-4.180E-06,1.190E+01
-4.160E-06,1.190E+01
-4.140E-06,1.190E+01
-4.120E-06,1.190E+01
-4.100E-06,1.190E+01
-4.080E-06,1.190E+01
-4.060E-06,1.190E+01
-4.040E-06,1.190E+01
-4.020E-06,1.170E+01
-4.000E-06,1.190E+01
-3.980E-06,1.190E+01
-3.960E-06,1.190E+01
-3.940E-06,1.190E+01
-3.920E-06,1.190E+01
-3.900E-06,1.190E+01
-3.880E-06,1.190E+01
-3.860E-06,1.190E+01
-3.840E-06,1.190E+01
-3.820E-06,1.190E+01
-3.800E-06,1.190E+01
-3.780E-06,1.190E+01
-3.760E-06,1.190E+01
-3.740E-06,1.190E+01
-3.720E-06,1.190E+01
-3.700E-06,1.190E+01
-3.680E-06,1.190E+01
-3.660E-06,1.170E+01
-3.640E-06,1.170E+01
-3.620E-06,1.190E+01
-3.600E-06,1.190E+01
-3.580E-06,1.170E+01
-3.560E-06,1.190E+01
-3.540E-06,1.190E+01
-3.520E-06,1.190E+01
-3.500E-06,1.190E+01
-3.480E-06,1.190E+01
-3.460E-06,1.190E+01
-3.440E-06,1.190E+01
-3.420E-06,1.190E+01
-3.400E-06,1.190E+01
-3.380E-06,1.190E+01
-3.360E-06,1.190E+01
-3.340E-06,1.190E+01
-3.320E-06,1.190E+01
-3.300E-06,1.190E+01
-3.280E-06,1.190E+01
-3.260E-06,1.190E+01
-3.240E-06,1.190E+01
-3.220E-06,1.190E+01
-3.200E-06,1.190E+01
-3.180E-06,1.190E+01
-3.160E-06,1.190E+01
-3.140E-06,1.190E+01
-3.120E-06,1.190E+01
-3.100E-06,1.190E+01
-3.080E-06,1.190E+01
-3.060E-06,1.190E+01
-3.040E-06,1.190E+01
-3.020E-06,1.190E+01
-3.000E-06,1.190E+01
-2.980E-06,1.190E+01
-2.960E-06,1.190E+01
-2.940E-06,1.170E+01
-2.920E-06,1.190E+01
-2.900E-06,1.190E+01
-2.880E-06,1.170E+01
-2.860E-06,1.190E+01
-2.840E-06,1.170E+01
-2.820E-06,1.190E+01
-2.800E-06,1.190E+01
-2.780E-06,1.190E+01
-2.760E-06,1.190E+01
-2.740E-06,1.190E+01
-2.720E-06,1.190E+01
-2.700E-06,1.190E+01
-2.680E-06,1.190E+01
-2.660E-06,1.190E+01
-2.640E-06,1.170E+01
-2.620E-06,1.170E+01
-2.600E-06,1.190E+01
-2.580E-06,1.190E+01
-2.560E-06,1.190E+01
-2.540E-06,1.190E+01
-2.520E-06,1.190E+01
-2.500E-06,1.190E+01
-2.480E-06,1.190E+01
-2.460E-06,1.190E+01
-2.440E-06,1.190E+01
-2.420E-06,1.170E+01
-2.400E-06,1.190E+01
-2.380E-06,1.190E+01
-2.360E-06,1.190E+01
-2.340E-06,1.190E+01
-2.320E-06,1.170E+01
-2.300E-06,1.190E+01
-2.280E-06,1.190E+01
-2.260E-06,1.190E+01
-2.240E-06,1.190E+01
-2.220E-06,1.190E+01
-2.200E-06,1.190E+01
-2.180E-06,1.190E+01
-2.160E-06,1.190E+01
-2.140E-06,1.190E+01
-2.120E-06,1.190E+01
-2.100E-06,1.190E+01
-2.080E-06,1.190E+01
-2.060E-06,1.190E+01
-2.040E-06,1.190E+01
-2.020E-06,1.190E+01
-2.000E-06,1.190E+01
-1.980E-06,1.190E+01
-1.960E-06,1.190E+01
-1.940E-06,1.190E+01
-1.920E-06,1.190E+01
-1.900E-06,1.190E+01
-1.880E-06,1.190E+01
-1.860E-06,1.190E+01
-1.840E-06,1.190E+01
-1.820E-06,1.190E+01
-1.800E-06,1.190E+01
-1.780E-06,1.190E+01
-1.760E-06,1.190E+01
-1.740E-06,1.190E+01
-1.720E-06,1.190E+01
-1.700E-06,1.190E+01
-1.680E-06,1.190E+01
-1.660E-06,1.190E+01
-1.640E-06,1.190E+01
-1.620E-06,1.190E+01
-1.600E-06,1.190E+01
-1.580E-06,1.190E+01
-1.560E-06,1.190E+01
-1.540E-06,1.170E+01
-1.520E-06,1.170E+01
-1.500E-06,1.190E+01
-1.480E-06,1.170E+01
-1.460E-06,1.190E+01
-1.440E-06,1.190E+01
-1.420E-06,1.190E+01
-1.400E-06,1.190E+01
