in s,D7,D6,D5,D4,D3,D2,D1,D0
-3.400E-06,0,0,0,0,0,0,0,1
-3.360E-06,0,0,0,0,0,0,0,1
-3.320E-06,0,0,0,0,0,0,0,1
-3.280E-06,0,0,0,0,0,0,0,1
-3.240E-06,0,0,0,0,0,0,0,1
-3.200E-06,0,0,0,0,0,0,0,1
-3.160E-06,0,0,0,0,0,0,0,1
-3.120E-06,0,0,0,0,0,0,0,1
-3.080E-06,0,0,0,0,0,0,0,1
-3.040E-06,0,0,0,0,0,0,0,1
-3.000E-06,0,0,0,0,0,0,0,1
-2.960E-06,0,0,0,0,0,0,0,1
-2.920E-06,0,0,0,0,0,0,0,1
-2.880E-06,0,0,0,0,0,0,0,1
-2.840E-06,0,0,0,0,0,0,0,1
-2.800E-06,0,0,0,0,0,0,0,1
-2.760E-06,0,0,0,0,0,0,0,1
-2.720E-06,0,0,0,0,0,0,0,1
-2.680E-06,0,0,0,0,0,0,0,1
-2.640E-06,0,0,0,0,0,0,0,1
-2.600E-06,0,0,0,0,0,0,0,1
-2.560E-06,0,0,0,0,0,0,0,1
-2.520E-06,0,0,0,0,0,0,0,1
-2.480E-06,0,0,0,0,0,0,0,1
-2.440E-06,0,0,0,0,0,0,0,1
-2.400E-06,0,0,0,0,0,0,0,1
-2.360E-06,0,0,0,0,0,0,0,1
-2.320E-06,0,0,0,0,0,0,0,1
-2.280E-06,0,0,0,0,0,0,0,1
-2.240E-06,0,0,0,0,0,0,0,1
-2.200E-06,0,0,0,0,0,0,0,1
-2.160E-06,0,0,0,0,0,0,0,1
-2.120E-06,0,0,0,0,0,0,0,1
-2.080E-06,0,0,0,0,0,0,0,1
-2.040E-06,0,0,0,0,0,0,0,1
-2.000E-06,0,0,0,0,0,0,0,1
-1.960E-06,0,0,0,0,0,0,0,1
-1.920E-06,0,0,0,0,0,0,0,1
-1.880E-06,0,0,0,0,0,0,0,1
-1.840E-06,0,0,0,0,0,0,0,1
-1.800E-06,0,0,0,0,0,0,0,1
-1.760E-06,0,0,0,0,0,0,0,1
-1.720E-06,0,0,0,0,0,0,0,1
-1.680E-06,0,0,0,0,0,0,0,1
-1.640E-06,0,0,0,0,0,0,0,1
-1.600E-06,0,0,0,0,0,0,0,1
-1.560E-06,0,0,0,0,0,0,0,1
-1.520E-06,0,0,0,0,0,0,0,1
-1.480E-06,0,0,0,0,0,0,0,1
-1.440E-06,0,0,0,0,0,0,0,1
-1.400E-06,0,0,0,0,0,0,0,1
-1.360E-06,0,0,0,0,0,0,0,1
-1.320E-06,0,0,0,0,0,0,0,1
-1.280E-06,0,0,0,0,0,0,0,1
-1.240E-06,0,0,0,0,0,0,0,1
-1.200E-06,0,0,0,0,0,0,0,1
-1.160E-06,0,0,0,0,0,0,0,1
-1.120E-06,0,0,0,0,0,0,0,1
-1.080E-06,0,0,0,0,0,0,0,1
-1.040E-06,0,0,0,0,0,0,0,1
-1.000E-06,0,0,0,0,0,0,0,1
-9.600E-07,0,0,0,0,0,0,0,1
-9.200E-07,0,0,0,0,0,0,0,1
-8.800E-07,0,0,0,0,0,0,0,1
-8.400E-07,0,0,0,0,0,0,0,1
-8.000E-07,0,0,0,0,0,0,0,1
-7.600E-07,0,0,0,0,0,0,0,1
-7.200E-07,0,0,0,0,0,0,0,1
-6.800E-07,0,0,0,0,0,0,0,1
-6.400E-07,0,0,0,0,0,0,0,1
-6.000E-07,0,0,0,0,0,0,0,1
-5.600E-07,0,0,0,0,0,0,0,1
-5.200E-07,0,0,0,0,0,0,0,1
-4.800E-07,0,0,0,0,0,0,0,1
-4.400E-07,0,0,0,0,0,0,0,1
-4.000E-07,0,0,0,0,0,0,0,1
-3.600E-07,0,0,0,0,0,0,0,1
-3.200E-07,0,0,0,0,0,0,0,1
-2.800E-07,0,0,0,0,0,0,0,1
-2.400E-07,0,0,0,0,0,0,0,1
-2.000E-07,0,0,0,0,0,0,0,1
-1.600E-07,0,0,0,0,0,0,0,1
-1.200E-07,0,0,0,0,0,0,0,1
-8.000E-08,0,0,0,0,0,0,0,1
-4.000E-08,0,0,0,0,0,0,0,1
4.395E-21,0,0,0,0,0,0,0,0
4.000E-08,0,0,0,0,0,0,0,0
8.000E-08,0,0,0,0,0,0,0,0
1.200E-07,0,0,0,0,0,0,0,0
1.600E-07,0,0,0,0,0,0,0,0
2.000E-07,0,0,0,0,0,0,0,0
2.400E-07,0,0,0,0,0,0,0,0
2.800E-07,0,0,0,0,0,0,0,0
3.200E-07,0,0,0,0,0,0,0,0
3.600E-07,0,0,0,0,0,0,0,0
4.000E-07,0,0,0,0,0,0,0,0
4.400E-07,0,0,0,0,0,0,0,0
4.800E-07,0,0,0,0,0,0,1,0
5.200E-07,0,0,0,0,0,0,0,0
5.600E-07,0,0,0,0,0,0,1,0
6.000E-07,0,0,0,0,1,0,0,0
6.400E-07,0,0,0,0,1,0,1,0
6.800E-07,0,0,0,0,1,0,0,0
7.200E-07,0,0,0,0,1,0,1,0
7.600E-07,0,0,0,0,1,0,0,0
8.000E-07,0,0,0,0,1,0,1,0
8.400E-07,0,0,0,0,0,0,0,0
8.800E-07,0,0,0,0,0,0,1,0
9.200E-07,0,0,0,0,1,0,0,0
9.600E-07,0,0,0,0,1,0,1,0
1.000E-06,0,0,0,0,0,0,0,0
1.040E-06,0,0,0,0,0,0,1,0
1.080E-06,0,0,0,0,1,0,0,0
1.120E-06,0,0,0,0,1,0,0,0
1.160E-06,0,0,0,0,1,0,0,0
1.200E-06,0,0,0,0,1,0,0,0
1.240E-06,0,0,0,0,1,0,0,0
1.280E-06,0,0,0,0,1,0,0,0
1.320E-06,0,0,0,0,1,0,0,0
1.360E-06,0,0,0,0,1,0,0,0
1.400E-06,0,0,0,0,1,0,0,0
1.440E-06,0,0,0,0,1,0,0,0
1.480E-06,0,0,0,0,1,0,0,0
1.520E-06,0,0,0,0,1,0,0,0
1.560E-06,0,0,0,0,1,0,0,0
1.600E-06,0,0,0,0,1,0,0,0
1.640E-06,0,0,0,0,1,0,0,0
1.680E-06,0,0,0,0,1,0,0,0
1.720E-06,0,0,0,0,1,0,0,0
1.760E-06,0,0,0,0,1,0,0,0
1.800E-06,0,0,0,0,1,0,0,0
1.840E-06,0,0,0,0,1,0,0,0
1.880E-06,0,0,0,0,1,0,0,0
1.920E-06,0,0,0,0,1,0,0,0
1.960E-06,0,0,0,0,1,0,0,0
2.000E-06,0,0,0,0,1,0,0,0
2.040E-06,0,0,0,0,1,0,0,0
2.080E-06,0,0,0,0,1,0,0,0
2.120E-06,0,0,0,0,1,0,0,0
2.160E-06,0,0,0,0,1,0,0,0
2.200E-06,0,0,0,0,1,0,0,0
2.240E-06,0,0,0,0,1,0,0,0
2.280E-06,0,0,0,0,1,0,0,0
2.320E-06,0,0,0,0,1,0,0,0
2.360E-06,0,0,0,0,1,0,0,0
2.400E-06,0,0,0,0,1,0,0,0
2.440E-06,0,0,0,0,1,0,1,0
2.480E-06,0,0,0,0,1,0,0,0
2.520E-06,0,0,0,0,1,0,1,0
2.560E-06,0,0,0,0,0,0,0,0
2.600E-06,0,0,0,0,0,0,1,0
2.640E-06,0,0,0,0,1,0,0,0
2.680E-06,0,0,0,0,1,0,1,0
2.720E-06,0,0,0,0,1,0,0,0
2.760E-06,0,0,0,0,1,0,1,0
2.800E-06,0,0,0,0,0,0,0,0
2.840E-06,0,0,0,0,0,0,1,0
2.880E-06,0,0,0,0,0,0,0,0
2.920E-06,0,0,0,0,0,0,1,0
2.960E-06,0,0,0,0,0,0,0,0
3.000E-06,0,0,0,0,0,0,1,0
3.040E-06,0,0,0,0,0,0,0,0
3.080E-06,0,0,0,0,0,0,0,0
3.120E-06,0,0,0,0,0,0,0,0
3.160E-06,0,0,0,0,0,0,0,0
3.200E-06,0,0,0,0,0,0,0,0
3.240E-06,0,0,0,0,0,0,0,0
3.280E-06,0,0,0,0,0,0,0,0
3.320E-06,0,0,0,0,0,0,0,0
3.360E-06,0,0,0,0,0,0,0,0
3.400E-06,0,0,0,0,0,0,0,0
3.440E-06,0,0,0,0,0,0,0,0
3.480E-06,0,0,0,0,0,0,0,0
3.520E-06,0,0,0,0,0,0,0,0
3.560E-06,0,0,0,0,0,0,0,0
3.600E-06,0,0,0,0,0,0,0,0
3.640E-06,0,0,0,0,0,0,0,0
3.680E-06,0,0,0,0,0,0,0,0
3.720E-06,0,0,0,0,0,0,0,0
3.760E-06,0,0,0,0,0,0,0,0
3.800E-06,0,0,0,0,0,0,0,0
3.840E-06,0,0,0,0,0,0,0,0
3.880E-06,0,0,0,0,0,0,0,0
3.920E-06,0,0,0,0,0,0,0,0
3.960E-06,0,0,0,0,0,0,0,0
4.000E-06,0,0,0,0,0,0,0,0
4.040E-06,0,0,0,0,0,0,0,0
4.080E-06,0,0,0,0,0,0,0,0
4.120E-06,0,0,0,0,0,0,0,0
4.160E-06,0,0,0,0,0,0,0,0
4.200E-06,0,0,0,0,0,0,0,0
4.240E-06,0,0,0,0,0,0,0,0
4.280E-06,0,0,0,0,0,0,0,0
4.320E-06,0,0,0,0,0,0,0,0
4.360E-06,0,0,0,0,0,0,0,0
4.400E-06,0,0,0,0,0,0,1,0
4.440E-06,0,0,0,0,0,0,0,0
4.480E-06,0,0,0,0,0,0,1,0
4.520E-06,0,0,0,0,0,0,0,0
4.560E-06,0,0,0,0,0,0,1,0
4.600E-06,0,0,0,0,0,0,0,0
4.640E-06,0,0,0,0,0,0,1,0
4.680E-06,0,0,0,0,0,0,0,0
4.720E-06,0,0,0,0,0,0,1,0
4.760E-06,0,0,0,0,0,0,0,0
4.800E-06,0,0,0,0,0,0,1,0
