in s,CH1 in V
-3.280E-04,-4.000E-02
-3.240E-04,-4.000E-02
-3.200E-04,4.400E-17
-3.160E-04,4.400E-17
-3.120E-04,-4.000E-02
-3.080E-04,-4.000E-02
-3.040E-04,-4.000E-02
-3.000E-04,-4.000E-02
-2.960E-04,-4.000E-02
-2.920E-04,-4.000E-02
-2.880E-04,-4.000E-02
-2.840E-04,-4.000E-02
-2.800E-04,-4.000E-02
-2.760E-04,-4.000E-02
-2.720E-04,-4.000E-02
-2.680E-04,-4.000E-02
-2.640E-04,-4.000E-02
-2.600E-04,-4.000E-02
-2.560E-04,-4.000E-02
-2.520E-04,-4.000E-02
-2.480E-04,-4.000E-02
-2.440E-04,-4.000E-02
-2.400E-04,-4.000E-02
-2.360E-04,-4.000E-02
-2.320E-04,-4.000E-02
-2.280E-04,4.400E-17
-2.240E-04,-4.000E-02
-2.200E-04,-4.000E-02
-2.160E-04,-4.000E-02
-2.120E-04,-4.000E-02
-2.080E-04,-4.000E-02
-2.040E-04,-4.000E-02
-2.000E-04,-4.000E-02
-1.960E-04,-4.000E-02
-1.920E-04,-4.000E-02
-1.880E-04,-4.000E-02
-1.840E-04,-4.000E-02
-1.800E-04,-4.000E-02
-1.760E-04,-4.000E-02
-1.720E-04,-4.000E-02
-1.680E-04,-4.000E-02
-1.640E-04,-4.000E-02
-1.600E-04,-4.000E-02
-1.560E-04,-4.000E-02
-1.520E-04,-4.000E-02
-1.480E-04,-4.000E-02
-1.440E-04,4.400E-17
-1.400E-04,-4.000E-02
-1.360E-04,-4.000E-02
-1.320E-04,-4.000E-02
-1.280E-04,-4.000E-02
-1.240E-04,-4.000E-02
-1.200E-04,-4.000E-02
-1.160E-04,-4.000E-02
-1.120E-04,-4.000E-02
-1.080E-04,-4.000E-02
-1.040E-04,-4.000E-02
-1.000E-04,-4.000E-02
-9.600E-05,-4.000E-02
-9.200E-05,-4.000E-02
-8.800E-05,-4.000E-02
-8.400E-05,-4.000E-02
-8.000E-05,-4.000E-02
-7.600E-05,-4.000E-02
-7.200E-05,-4.000E-02
-6.800E-05,-4.000E-02
-6.400E-05,-4.000E-02
-6.000E-05,-4.000E-02
-5.600E-05,-4.000E-02
-5.200E-05,-4.000E-02
-4.800E-05,4.400E-17
-4.400E-05,4.400E-17
-4.000E-05,-4.000E-02
-3.600E-05,-4.000E-02
-3.200E-05,-4.000E-02
-2.800E-05,-4.000E-02
-2.400E-05,4.400E-17
-2.000E-05,-4.000E-02
-1.600E-05,-4.000E-02
-1.200E-05,4.400E-17
-8.000E-06,4.400E-17
-4.000E-06,4.400E-17
-7.640E-20,9.200E-01
4.000E-06,2.000E-01
8.000E-06,3.200E-01
1.200E-05,6.800E-01
1.600E-05,9.600E-01
2.000E-05,1.040E+00
2.400E-05,1.000E+00
2.800E-05,1.040E+00
3.200E-05,1.000E+00
3.600E-05,1.040E+00
4.000E-05,1.000E+00
4.400E-05,1.040E+00
4.800E-05,1.040E+00
5.200E-05,1.040E+00
5.600E-05,1.040E+00
6.000E-05,1.040E+00
6.400E-05,1.000E+00
6.800E-05,1.040E+00
7.200E-05,1.000E+00
7.600E-05,1.040E+00
8.000E-05,1.000E+00
8.400E-05,1.040E+00
8.800E-05,1.000E+00
9.200E-05,1.040E+00
9.600E-05,1.040E+00
1.000E-04,1.000E+00
1.040E-04,1.000E+00
1.080E-04,1.040E+00
1.120E-04,1.040E+00
1.160E-04,1.040E+00
1.200E-04,1.040E+00
1.240E-04,1.040E+00
1.280E-04,1.040E+00
1.320E-04,1.000E+00
1.360E-04,3.640E+00
1.400E-04,3.640E+00
1.440E-04,3.640E+00
1.480E-04,3.640E+00
1.520E-04,3.600E+00
1.560E-04,3.600E+00
1.600E-04,3.640E+00
1.640E-04,3.640E+00
1.680E-04,3.640E+00
1.720E-04,3.640E+00
1.760E-04,3.640E+00
1.800E-04,3.600E+00
1.840E-04,3.640E+00
1.880E-04,3.640E+00
1.920E-04,3.640E+00
1.960E-04,3.640E+00
2.000E-04,3.680E+00
2.040E-04,3.640E+00
2.080E-04,3.600E+00
2.120E-04,3.640E+00
2.160E-04,3.640E+00
2.200E-04,3.680E+00
2.240E-04,3.640E+00
2.280E-04,3.640E+00
2.320E-04,3.680E+00
2.360E-04,3.680E+00
2.400E-04,3.640E+00
2.440E-04,3.640E+00
2.480E-04,3.680E+00
2.520E-04,3.680E+00
2.560E-04,3.680E+00
2.600E-04,3.680E+00
2.640E-04,3.680E+00
2.680E-04,3.640E+00
2.720E-04,3.640E+00
2.760E-04,3.680E+00
2.800E-04,3.680E+00
2.840E-04,3.680E+00
2.880E-04,3.680E+00
2.920E-04,3.640E+00
2.960E-04,3.640E+00
3.000E-04,3.680E+00
3.040E-04,3.680E+00
3.080E-04,3.680E+00
3.120E-04,3.680E+00
3.160E-04,3.640E+00
3.200E-04,3.640E+00
3.240E-04,3.680E+00
3.280E-04,3.680E+00
3.320E-04,3.680E+00
3.360E-04,3.680E+00
3.400E-04,3.680E+00
3.440E-04,3.640E+00
3.480E-04,3.640E+00
3.520E-04,3.680E+00
3.560E-04,3.680E+00
3.600E-04,3.680E+00
3.640E-04,3.680E+00
3.680E-04,3.640E+00
3.720E-04,3.680E+00
3.760E-04,3.680E+00
3.800E-04,3.680E+00
3.840E-04,3.680E+00
3.880E-04,3.680E+00
3.920E-04,3.600E+00
3.960E-04,3.680E+00
4.000E-04,3.640E+00
4.040E-04,3.680E+00
4.080E-04,3.680E+00
4.120E-04,3.680E+00
4.160E-04,3.680E+00
4.200E-04,3.640E+00
4.240E-04,3.680E+00
4.280E-04,3.680E+00
4.320E-04,3.680E+00
4.360E-04,3.640E+00
4.400E-04,1.040E+00
4.440E-04,1.000E+00
4.480E-04,1.040E+00
4.520E-04,1.040E+00
4.560E-04,1.080E+00
4.600E-04,1.080E+00
4.640E-04,1.080E+00
4.680E-04,1.040E+00
4.720E-04,1.080E+00
4.760E-04,1.080E+00
4.800E-04,1.040E+00
4.840E-04,1.080E+00
4.880E-04,1.040E+00
4.920E-04,1.040E+00
4.960E-04,1.040E+00
5.000E-04,1.040E+00
5.040E-04,1.040E+00
5.080E-04,1.040E+00
5.120E-04,1.040E+00
5.160E-04,1.040E+00
5.200E-04,1.040E+00
5.240E-04,1.040E+00
5.280E-04,1.040E+00
5.320E-04,1.040E+00
5.360E-04,1.040E+00
5.400E-04,1.040E+00
5.440E-04,1.040E+00
5.480E-04,1.040E+00
5.520E-04,1.040E+00
5.560E-04,1.040E+00
5.600E-04,1.040E+00
5.640E-04,1.040E+00
5.680E-04,1.040E+00
5.720E-04,3.680E+00
5.760E-04,3.640E+00
5.800E-04,3.640E+00
5.840E-04,3.640E+00
5.880E-04,3.640E+00
5.920E-04,3.640E+00
5.960E-04,3.640E+00
6.000E-04,3.640E+00
6.040E-04,3.600E+00
6.080E-04,3.640E+00
6.120E-04,3.640E+00
6.160E-04,3.640E+00
6.200E-04,3.640E+00
6.240E-04,3.640E+00
6.280E-04,3.640E+00
6.320E-04,3.640E+00
6.360E-04,3.640E+00
6.400E-04,3.640E+00
6.440E-04,3.680E+00
6.480E-04,3.680E+00
6.520E-04,3.680E+00
6.560E-04,3.680E+00
6.600E-04,3.600E+00
6.640E-04,3.640E+00
6.680E-04,3.680E+00
6.720E-04,3.680E+00
6.760E-04,3.680E+00
6.800E-04,3.680E+00
6.840E-04,3.640E+00
6.880E-04,3.600E+00
6.920E-04,3.640E+00
6.960E-04,3.680E+00
7.000E-04,3.640E+00
7.040E-04,3.680E+00
7.080E-04,3.680E+00
7.120E-04,3.680E+00
7.160E-04,3.640E+00
7.200E-04,3.680E+00
7.240E-04,3.680E+00
7.280E-04,3.680E+00
7.320E-04,3.680E+00
7.360E-04,3.680E+00
7.400E-04,3.640E+00
7.440E-04,3.640E+00
7.480E-04,3.680E+00
7.520E-04,3.680E+00
7.560E-04,3.680E+00
7.600E-04,3.680E+00
7.640E-04,3.680E+00
7.680E-04,3.640E+00
7.720E-04,3.680E+00
7.760E-04,3.680E+00
7.800E-04,3.680E+00
7.840E-04,3.720E+00
7.880E-04,3.720E+00
7.920E-04,3.640E+00
7.960E-04,3.680E+00
8.000E-04,3.680E+00
8.040E-04,3.680E+00
8.080E-04,3.680E+00
8.120E-04,3.680E+00
8.160E-04,3.640E+00
8.200E-04,3.640E+00
8.240E-04,3.680E+00
8.280E-04,3.680E+00
8.320E-04,3.680E+00
8.360E-04,3.680E+00
8.400E-04,3.680E+00
8.440E-04,3.640E+00
8.480E-04,3.680E+00
8.520E-04,3.680E+00
8.560E-04,3.680E+00
8.600E-04,1.200E+00
8.640E-04,1.000E+00
8.680E-04,1.040E+00
8.720E-04,1.040E+00
8.760E-04,1.040E+00
8.800E-04,1.040E+00
8.840E-04,1.080E+00
8.880E-04,1.080E+00
8.920E-04,1.040E+00
8.960E-04,1.080E+00
9.000E-04,1.040E+00
9.040E-04,1.080E+00
9.080E-04,1.040E+00
9.120E-04,1.040E+00
9.160E-04,1.040E+00
9.200E-04,1.080E+00
9.240E-04,1.040E+00
9.280E-04,1.080E+00
9.320E-04,1.040E+00
9.360E-04,1.040E+00
9.400E-04,1.040E+00
9.440E-04,1.040E+00
9.480E-04,1.040E+00
9.520E-04,1.040E+00
9.560E-04,1.040E+00
9.600E-04,1.040E+00
9.640E-04,1.040E+00
9.680E-04,1.040E+00
9.720E-04,1.040E+00
9.760E-04,1.040E+00
9.800E-04,1.040E+00
9.840E-04,1.040E+00
9.880E-04,1.040E+00
9.920E-04,1.040E+00
9.960E-04,3.600E+00
1.000E-03,3.640E+00
1.004E-03,3.640E+00
1.008E-03,3.640E+00
1.012E-03,3.640E+00
1.016E-03,3.640E+00
1.020E-03,3.640E+00
1.024E-03,3.600E+00
1.028E-03,3.640E+00
1.032E-03,3.640E+00
1.036E-03,3.640E+00
1.040E-03,3.640E+00
1.044E-03,3.680E+00
1.048E-03,3.680E+00
1.052E-03,3.600E+00
1.056E-03,3.640E+00
1.060E-03,3.640E+00
1.064E-03,3.640E+00
1.068E-03,3.680E+00
1.072E-03,3.680E+00
1.076E-03,3.680E+00
1.080E-03,3.600E+00
1.084E-03,3.640E+00
1.088E-03,3.640E+00
1.092E-03,3.680E+00
1.096E-03,3.680E+00
1.100E-03,3.680E+00
1.104E-03,3.640E+00
1.108E-03,3.640E+00
1.112E-03,3.680E+00
1.116E-03,3.680E+00
1.120E-03,3.680E+00
1.124E-03,3.680E+00
1.128E-03,3.680E+00
1.132E-03,3.640E+00
1.136E-03,3.640E+00
1.140E-03,3.680E+00
1.144E-03,3.680E+00
1.148E-03,3.680E+00
1.152E-03,3.680E+00
1.156E-03,3.640E+00
1.160E-03,3.680E+00
1.164E-03,3.680E+00
1.168E-03,3.680E+00
