in s,CH1 in V
-3.200E-04,-1.000E-01
-3.180E-04,1.000E-01
-3.160E-04,-1.000E-01
-3.140E-04,-1.000E-01
-3.120E-04,-1.000E-01
-3.100E-04,1.000E-01
-3.080E-04,-1.000E-01
-3.060E-04,1.000E-01
-3.040E-04,1.000E-01
-3.020E-04,-1.000E-01
-3.000E-04,-1.000E-01
-2.980E-04,-1.000E-01
-2.960E-04,-1.000E-01
-2.940E-04,-1.000E-01
-2.920E-04,-1.000E-01
-2.900E-04,-1.000E-01
-2.880E-04,1.000E-01
-2.860E-04,-1.000E-01
-2.840E-04,1.000E-01
-2.820E-04,1.000E-01
-2.800E-04,-1.000E-01
-2.780E-04,-1.000E-01
-2.760E-04,1.000E-01
-2.740E-04,-1.000E-01
-2.720E-04,1.000E-01
-2.700E-04,1.000E-01
-2.680E-04,1.000E-01
-2.660E-04,1.000E-01
-2.640E-04,-1.000E-01
-2.620E-04,1.000E-01
-2.600E-04,-1.000E-01
-2.580E-04,1.000E-01
-2.560E-04,1.000E-01
-2.540E-04,1.000E-01
-2.520E-04,1.000E-01
-2.500E-04,-1.000E-01
-2.480E-04,1.000E-01
-2.460E-04,-1.000E-01
-2.440E-04,1.000E-01
-2.420E-04,1.000E-01
-2.400E-04,-1.000E-01
-2.380E-04,-1.000E-01
-2.360E-04,-1.000E-01
-2.340E-04,1.000E-01
-2.320E-04,-1.000E-01
-2.300E-04,-1.000E-01
-2.280E-04,1.000E-01
-2.260E-04,1.000E-01
-2.240E-04,1.000E-01
-2.220E-04,1.000E-01
-2.200E-04,-1.000E-01
-2.180E-04,1.000E-01
-2.160E-04,-1.000E-01
-2.140E-04,1.000E-01
-2.120E-04,-1.000E-01
-2.100E-04,1.000E-01
-2.080E-04,1.000E-01
-2.060E-04,-1.000E-01
-2.040E-04,1.000E-01
-2.020E-04,-1.000E-01
-2.000E-04,-1.000E-01
-1.980E-04,1.000E-01
-1.960E-04,1.000E-01
-1.940E-04,1.000E-01
-1.920E-04,1.000E-01
-1.900E-04,1.000E-01
-1.880E-04,1.000E-01
-1.860E-04,-1.000E-01
-1.840E-04,1.000E-01
-1.820E-04,1.000E-01
-1.800E-04,-1.000E-01
-1.780E-04,1.000E-01
-1.760E-04,-1.000E-01
-1.740E-04,1.000E-01
-1.720E-04,-1.000E-01
-1.700E-04,1.000E-01
-1.680E-04,-1.000E-01
-1.660E-04,-1.000E-01
-1.640E-04,-1.000E-01
-1.620E-04,1.000E-01
-1.600E-04,-1.000E-01
-1.580E-04,1.000E-01
-1.560E-04,1.000E-01
-1.540E-04,-1.000E-01
-1.520E-04,-1.000E-01
-1.500E-04,-1.000E-01
-1.480E-04,-1.000E-01
-1.460E-04,1.000E-01
-1.440E-04,-1.000E-01
-1.420E-04,1.000E-01
-1.400E-04,1.000E-01
-1.380E-04,-1.000E-01
-1.360E-04,1.000E-01
-1.340E-04,-1.000E-01
-1.320E-04,-1.000E-01
-1.300E-04,1.000E-01
-1.280E-04,-1.000E-01
-1.260E-04,-1.000E-01
-1.240E-04,-1.000E-01
-1.220E-04,1.000E-01
-1.200E-04,-1.000E-01
-1.180E-04,-1.000E-01
-1.160E-04,1.000E-01
-1.140E-04,-1.000E-01
-1.120E-04,1.000E-01
-1.100E-04,-1.000E-01
-1.080E-04,-1.000E-01
-1.060E-04,-1.000E-01
-1.040E-04,-1.000E-01
-1.020E-04,1.000E-01
-1.000E-04,-1.000E-01
-9.800E-05,-1.000E-01
-9.600E-05,-1.000E-01
-9.400E-05,-1.000E-01
-9.200E-05,-1.000E-01
-9.000E-05,-1.000E-01
-8.800E-05,1.000E-01
-8.600E-05,-1.000E-01
-8.400E-05,-1.000E-01
-8.200E-05,-1.000E-01
-8.000E-05,1.000E-01
-7.800E-05,-1.000E-01
-7.600E-05,1.000E-01
-7.400E-05,1.000E-01
