in s,CH1 in V
-1.867E-04,1.600E-01
-1.859E-04,1.600E-01
-1.852E-04,1.600E-01
-1.844E-04,1.600E-01
-1.836E-04,1.600E-01
-1.828E-04,1.600E-01
-1.820E-04,1.400E-01
-1.813E-04,1.600E-01
-1.805E-04,1.600E-01
-1.797E-04,1.600E-01
-1.789E-04,1.600E-01
-1.781E-04,1.600E-01
-1.774E-04,1.600E-01
-1.766E-04,1.600E-01
-1.758E-04,1.600E-01
-1.750E-04,1.600E-01
-1.742E-04,1.600E-01
-1.735E-04,1.600E-01
-1.727E-04,1.800E-01
-1.719E-04,1.800E-01
-1.711E-04,1.800E-01
-1.703E-04,1.600E-01
-1.696E-04,1.600E-01
-1.688E-04,1.600E-01
-1.680E-04,1.600E-01
-1.672E-04,1.600E-01
-1.664E-04,1.600E-01
-1.657E-04,1.600E-01
-1.649E-04,1.600E-01
-1.641E-04,1.600E-01
-1.633E-04,1.600E-01
-1.625E-04,1.600E-01
-1.618E-04,1.600E-01
-1.610E-04,1.400E-01
-1.602E-04,1.600E-01
-1.594E-04,1.600E-01
-1.586E-04,1.600E-01
-1.579E-04,1.600E-01
-1.571E-04,1.600E-01
-1.563E-04,1.600E-01
-1.555E-04,1.600E-01
-1.547E-04,1.600E-01
-1.540E-04,1.600E-01
-1.532E-04,1.600E-01
-1.524E-04,1.600E-01
-1.516E-04,1.600E-01
-1.508E-04,1.600E-01
-1.501E-04,1.600E-01
-1.493E-04,1.600E-01
-1.485E-04,1.600E-01
-1.477E-04,1.600E-01
-1.469E-04,1.800E-01
-1.462E-04,1.800E-01
-1.454E-04,1.600E-01
-1.446E-04,1.600E-01
-1.438E-04,1.600E-01
-1.430E-04,1.600E-01
-1.423E-04,1.600E-01
-1.415E-04,1.600E-01
-1.407E-04,1.600E-01
-1.399E-04,1.600E-01
-1.391E-04,1.600E-01
-1.384E-04,1.600E-01
-1.376E-04,1.600E-01
-1.368E-04,1.600E-01
-1.360E-04,1.600E-01
-1.352E-04,1.600E-01
-1.345E-04,1.600E-01
-1.337E-04,1.600E-01
-1.329E-04,1.600E-01
-1.321E-04,1.600E-01
-1.313E-04,1.600E-01
-1.306E-04,1.600E-01
-1.298E-04,1.600E-01
-1.290E-04,1.600E-01
-1.282E-04,1.600E-01
-1.274E-04,1.600E-01
-1.267E-04,1.600E-01
-1.259E-04,1.600E-01
-1.251E-04,1.600E-01
-1.243E-04,1.600E-01
-1.235E-04,1.600E-01
-1.228E-04,1.600E-01
-1.220E-04,1.600E-01
-1.212E-04,1.800E-01
-1.204E-04,1.800E-01
-1.196E-04,1.800E-01
-1.189E-04,1.600E-01
-1.181E-04,1.600E-01
-1.173E-04,1.800E-01
-1.165E-04,1.600E-01
-1.157E-04,1.600E-01
-1.150E-04,1.600E-01
-1.142E-04,1.600E-01
-1.134E-04,1.600E-01
-1.126E-04,1.600E-01
-1.118E-04,1.600E-01
-1.111E-04,1.600E-01
-1.103E-04,1.600E-01
-1.095E-04,1.600E-01
-1.087E-04,1.600E-01
-1.079E-04,1.600E-01
-1.072E-04,1.600E-01
-1.064E-04,1.600E-01
-1.056E-04,1.600E-01
-1.048E-04,1.600E-01
-1.040E-04,1.600E-01
-1.033E-04,1.600E-01
-1.025E-04,1.600E-01
-1.017E-04,1.600E-01
-1.009E-04,1.600E-01
-1.001E-04,1.600E-01
-9.936E-05,1.600E-01
-9.858E-05,1.600E-01
-9.780E-05,1.600E-01
-9.702E-05,1.600E-01
-9.624E-05,1.600E-01
-9.546E-05,1.600E-01
-9.468E-05,1.800E-01
-9.390E-05,1.600E-01
-9.312E-05,1.600E-01
-9.234E-05,1.600E-01
-9.156E-05,1.600E-01
-9.078E-05,1.600E-01
-9.000E-05,1.600E-01
-8.922E-05,1.600E-01
-8.844E-05,1.600E-01
-8.766E-05,1.600E-01
-8.688E-05,1.600E-01
-8.610E-05,1.600E-01
-8.532E-05,1.600E-01
-8.454E-05,1.600E-01
-8.376E-05,1.600E-01
