in s,CH1 in V,CH2 in V
-1.484E-02,4.020E+00,2.000E-02
-1.480E-02,4.020E+00,2.000E-02
-1.476E-02,1.060E+00,2.000E-02
-1.472E-02,1.020E+00,2.000E-02
-1.468E-02,1.060E+00,-2.000E-02
-1.464E-02,1.020E+00,2.000E-02
-1.460E-02,1.020E+00,-2.000E-02
-1.456E-02,1.020E+00,2.000E-02
-1.452E-02,1.020E+00,2.000E-02
-1.448E-02,1.020E+00,-2.000E-02
-1.444E-02,1.020E+00,-2.000E-02
-1.440E-02,1.020E+00,2.000E-02
-1.436E-02,1.020E+00,2.000E-02
-1.432E-02,9.800E-01,2.000E-02
-1.428E-02,1.020E+00,2.000E-02
-1.424E-02,1.020E+00,-2.000E-02
-1.420E-02,1.020E+00,2.000E-02
-1.416E-02,1.020E+00,2.000E-02
-1.412E-02,1.020E+00,2.000E-02
-1.408E-02,1.020E+00,2.000E-02
-1.404E-02,1.020E+00,2.000E-02
-1.400E-02,1.020E+00,2.000E-02
-1.396E-02,9.800E-01,2.000E-02
-1.392E-02,1.020E+00,2.000E-02
-1.388E-02,9.800E-01,2.000E-02
-1.384E-02,1.020E+00,2.000E-02
-1.380E-02,9.800E-01,2.000E-02
-1.376E-02,9.800E-01,2.000E-02
-1.372E-02,1.020E+00,2.000E-02
-1.368E-02,1.020E+00,2.000E-02
-1.364E-02,1.020E+00,2.000E-02
-1.360E-02,1.020E+00,-2.000E-02
-1.356E-02,1.020E+00,2.000E-02
-1.352E-02,9.800E-01,2.000E-02
-1.348E-02,1.020E+00,2.000E-02
-1.344E-02,9.800E-01,2.000E-02
-1.340E-02,9.800E-01,2.000E-02
-1.336E-02,1.020E+00,2.000E-02
-1.332E-02,1.020E+00,2.000E-02
-1.328E-02,1.020E+00,2.000E-02
-1.324E-02,1.020E+00,2.000E-02
-1.320E-02,1.020E+00,2.000E-02
-1.316E-02,1.020E+00,2.000E-02
-1.312E-02,1.020E+00,2.000E-02
