in s,CH1 in V,CH2 in V
-6.000E-06,-6.000E-02,2.000E-02
-5.980E-06,-2.000E-02,2.000E-02
-5.960E-06,-2.000E-02,2.000E-02
-5.940E-06,-2.000E-02,6.000E-02
-5.920E-06,-2.000E-02,6.000E-02
-5.900E-06,-2.000E-02,6.000E-02
-5.880E-06,-6.000E-02,2.000E-02
-5.860E-06,-2.000E-02,2.000E-02
-5.840E-06,-2.000E-02,2.000E-02
-5.820E-06,-2.000E-02,6.000E-02
-5.800E-06,-2.000E-02,6.000E-02
-5.780E-06,-2.000E-02,2.000E-02
-5.760E-06,-2.000E-02,2.000E-02
-5.740E-06,-2.000E-02,6.000E-02
-5.720E-06,-2.000E-02,6.000E-02
-5.700E-06,-6.000E-02,6.000E-02
-5.680E-06,-2.000E-02,2.000E-02
-5.660E-06,-6.000E-02,2.000E-02
-5.640E-06,-6.000E-02,6.000E-02
-5.620E-06,-6.000E-02,6.000E-02
-5.600E-06,-2.000E-02,6.000E-02
-5.580E-06,-6.000E-02,6.000E-02
-5.560E-06,-2.000E-02,2.000E-02
-5.540E-06,-6.000E-02,2.000E-02
-5.520E-06,-6.000E-02,2.000E-02
-5.500E-06,-6.000E-02,6.000E-02
-5.480E-06,-2.000E-02,2.000E-02
-5.460E-06,-2.000E-02,6.000E-02
-5.440E-06,-6.000E-02,2.000E-02
-5.420E-06,-2.000E-02,6.000E-02
-5.400E-06,-2.000E-02,2.000E-02
-5.380E-06,-6.000E-02,2.000E-02
-5.360E-06,-2.000E-02,2.000E-02
-5.340E-06,-6.000E-02,6.000E-02
-5.320E-06,-2.000E-02,6.000E-02
-5.300E-06,-2.000E-02,2.000E-02
-5.280E-06,-6.000E-02,2.000E-02
-5.260E-06,-2.000E-02,6.000E-02
-5.240E-06,-2.000E-02,6.000E-02
-5.220E-06,-6.000E-02,6.000E-02
-5.200E-06,-6.000E-02,6.000E-02
-5.180E-06,-6.000E-02,2.000E-02
-5.160E-06,-6.000E-02,2.000E-02
-5.140E-06,-6.000E-02,2.000E-02
-5.120E-06,-6.000E-02,6.000E-02
-5.100E-06,-6.000E-02,6.000E-02
-5.080E-06,-6.000E-02,2.000E-02
-5.060E-06,-6.000E-02,2.000E-02
-5.040E-06,-6.000E-02,6.000E-02
-5.020E-06,-6.000E-02,2.000E-02
-5.000E-06,-6.000E-02,6.000E-02
-4.980E-06,-6.000E-02,6.000E-02
-4.960E-06,-2.000E-02,2.000E-02
-4.940E-06,-6.000E-02,6.000E-02
-4.920E-06,-6.000E-02,6.000E-02
-4.900E-06,-6.000E-02,2.000E-02
-4.880E-06,-6.000E-02,6.000E-02
-4.860E-06,-2.000E-02,6.000E-02
-4.840E-06,-6.000E-02,6.000E-02
-4.820E-06,-6.000E-02,6.000E-02
-4.800E-06,-2.000E-02,6.000E-02
-4.780E-06,-2.000E-02,6.000E-02
-4.760E-06,-6.000E-02,6.000E-02
-4.740E-06,-2.000E-02,2.000E-02
-4.720E-06,-6.000E-02,6.000E-02
-4.700E-06,-6.000E-02,2.000E-02
-4.680E-06,-6.000E-02,6.000E-02
-4.660E-06,-6.000E-02,6.000E-02
-4.640E-06,-6.000E-02,2.000E-02
-4.620E-06,-6.000E-02,2.000E-02
-4.600E-06,-6.000E-02,2.000E-02
-4.580E-06,-6.000E-02,6.000E-02
-4.560E-06,-6.000E-02,6.000E-02
-4.540E-06,-6.000E-02,6.000E-02
-4.520E-06,-6.000E-02,2.000E-02
-4.500E-06,-2.000E-02,6.000E-02
-4.480E-06,-2.000E-02,6.000E-02
-4.460E-06,-2.000E-02,6.000E-02
-4.440E-06,-6.000E-02,6.000E-02
-4.420E-06,-2.000E-02,6.000E-02
-4.400E-06,-2.000E-02,2.000E-02
-4.380E-06,-2.000E-02,2.000E-02
-4.360E-06,-6.000E-02,2.000E-02
-4.340E-06,-2.000E-02,6.000E-02
-4.320E-06,-2.000E-02,2.000E-02
-4.300E-06,-6.000E-02,2.000E-02
-4.280E-06,-2.000E-02,6.000E-02
-4.260E-06,-2.000E-02,6.000E-02
-4.240E-06,-2.000E-02,2.000E-02
-4.220E-06,-6.000E-02,6.000E-02
-4.200E-06,-6.000E-02,2.000E-02
-4.180E-06,-6.000E-02,6.000E-02
-4.160E-06,-6.000E-02,6.000E-02
-4.140E-06,-6.000E-02,6.000E-02
-4.120E-06,-2.000E-02,6.000E-02
-4.100E-06,-2.000E-02,6.000E-02
-4.080E-06,-6.000E-02,6.000E-02
-4.060E-06,-6.000E-02,6.000E-02
-4.040E-06,-2.000E-02,2.000E-02
-4.020E-06,-6.000E-02,2.000E-02
-4.000E-06,-2.000E-02,6.000E-02
-3.980E-06,-2.000E-02,2.000E-02
-3.960E-06,-2.000E-02,2.000E-02
-3.940E-06,-6.000E-02,2.000E-02
-3.920E-06,-6.000E-02,2.000E-02
-3.900E-06,-6.000E-02,2.000E-02
-3.880E-06,-6.000E-02,6.000E-02
-3.860E-06,-2.000E-02,2.000E-02
-3.840E-06,-2.000E-02,6.000E-02
-3.820E-06,-6.000E-02,2.000E-02
-3.800E-06,-2.000E-02,6.000E-02
-3.780E-06,-2.000E-02,2.000E-02
-3.760E-06,-6.000E-02,2.000E-02
-3.740E-06,-2.000E-02,2.000E-02
-3.720E-06,-2.000E-02,6.000E-02
-3.700E-06,-6.000E-02,6.000E-02
-3.680E-06,-6.000E-02,6.000E-02
-3.660E-06,-6.000E-02,2.000E-02
-3.640E-06,-2.000E-02,6.000E-02
-3.620E-06,-6.000E-02,2.000E-02
-3.600E-06,-6.000E-02,6.000E-02
-3.580E-06,-2.000E-02,2.000E-02
-3.560E-06,-6.000E-02,6.000E-02
-3.540E-06,-6.000E-02,2.000E-02
-3.520E-06,-6.000E-02,6.000E-02
-3.500E-06,-2.000E-02,6.000E-02
-3.480E-06,-6.000E-02,2.000E-02
-3.460E-06,-6.000E-02,6.000E-02
-3.440E-06,-6.000E-02,6.000E-02
-3.420E-06,-6.000E-02,6.000E-02
-3.400E-06,-2.000E-02,6.000E-02
-3.380E-06,-6.000E-02,6.000E-02
-3.360E-06,-6.000E-02,6.000E-02
-3.340E-06,-2.000E-02,6.000E-02
-3.320E-06,-6.000E-02,6.000E-02
-3.300E-06,-6.000E-02,6.000E-02
-3.280E-06,-6.000E-02,6.000E-02
-3.260E-06,-6.000E-02,2.000E-02
-3.240E-06,-6.000E-02,6.000E-02
-3.220E-06,-2.000E-02,2.000E-02
-3.200E-06,-2.000E-02,2.000E-02
-3.180E-06,-6.000E-02,2.000E-02
-3.160E-06,-6.000E-02,2.000E-02
-3.140E-06,-2.000E-02,2.000E-02
-3.120E-06,-6.000E-02,2.000E-02
-3.100E-06,-6.000E-02,2.000E-02
-3.080E-06,-6.000E-02,6.000E-02
-3.060E-06,-6.000E-02,6.000E-02
-3.040E-06,-6.000E-02,2.000E-02
-3.020E-06,-6.000E-02,2.000E-02
-3.000E-06,-6.000E-02,6.000E-02
-2.980E-06,-2.000E-02,2.000E-02
-2.960E-06,-6.000E-02,2.000E-02
-2.940E-06,-6.000E-02,2.000E-02
-2.920E-06,-6.000E-02,6.000E-02
-2.900E-06,-6.000E-02,6.000E-02
-2.880E-06,-6.000E-02,6.000E-02
-2.860E-06,-6.000E-02,2.000E-02
-2.840E-06,-6.000E-02,2.000E-02
-2.820E-06,-6.000E-02,6.000E-02
-2.800E-06,-6.000E-02,6.000E-02
-2.780E-06,-6.000E-02,6.000E-02
-2.760E-06,-6.000E-02,6.000E-02
-2.740E-06,-6.000E-02,6.000E-02
-2.720E-06,-2.000E-02,6.000E-02
-2.700E-06,-6.000E-02,2.000E-02
-2.680E-06,-6.000E-02,2.000E-02
-2.660E-06,-2.000E-02,6.000E-02
-2.640E-06,-6.000E-02,2.000E-02
-2.620E-06,-2.000E-02,6.000E-02
-2.600E-06,-2.000E-02,6.000E-02
-2.580E-06,-6.000E-02,2.000E-02
-2.560E-06,-6.000E-02,2.000E-02
-2.540E-06,-2.000E-02,2.000E-02
-2.520E-06,-6.000E-02,2.000E-02
-2.500E-06,-6.000E-02,6.000E-02
-2.480E-06,-2.000E-02,6.000E-02
-2.460E-06,-2.000E-02,6.000E-02
-2.440E-06,-2.000E-02,6.000E-02
-2.420E-06,-6.000E-02,6.000E-02
-2.400E-06,-6.000E-02,6.000E-02
-2.380E-06,-2.000E-02,2.000E-02
-2.360E-06,-2.000E-02,6.000E-02
-2.340E-06,-6.000E-02,6.000E-02
-2.320E-06,-2.000E-02,2.000E-02
-2.300E-06,-2.000E-02,6.000E-02
-2.280E-06,-2.000E-02,2.000E-02
-2.260E-06,-6.000E-02,6.000E-02
-2.240E-06,-6.000E-02,2.000E-02
-2.220E-06,-2.000E-02,6.000E-02
-2.200E-06,-6.000E-02,2.000E-02
-2.180E-06,-6.000E-02,6.000E-02
-2.160E-06,-6.000E-02,6.000E-02
-2.140E-06,-6.000E-02,6.000E-02
-2.120E-06,-2.000E-02,2.000E-02
-2.100E-06,-6.000E-02,6.000E-02
-2.080E-06,-6.000E-02,2.000E-02
-2.060E-06,-2.000E-02,2.000E-02
-2.040E-06,-6.000E-02,2.000E-02
-2.020E-06,-2.000E-02,6.000E-02
-2.000E-06,-6.000E-02,2.000E-02
-1.980E-06,-6.000E-02,6.000E-02
-1.960E-06,-6.000E-02,2.000E-02
-1.940E-06,-2.000E-02,2.000E-02
-1.920E-06,-2.000E-02,6.000E-02
