Index	Current	S11	S12	S13	S14	S21	S22	S23	S24	S31	S32	S33	S34	S41	S42	S43	
0	7.99414	2	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	
1	7.99414	1	0	0	-1	0	0	0	0	0	0	0	1	0	1	0	
2	7.98608	2	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	
3	7.98608	1	0	0	0	0	0	0	-1	0	0	-1	0	0	-1	-2	
4	7.99414	1	0	0	0	0	0	0	1	0	0	0	1	0	1	-2	
5	7.96996	1	0	0	0	0	0	0	0	0	0	0	1	0	1	-2	
6	7.96996	2	0	0	0	0	0	0	-1	0	-1	0	2	0	1	-2	
7	7.99414	1	0	0	0	0	0	0	1	0	0	0	1	0	0	-1	
8	7.98608	2	0	0	0	0	0	0	0	0	1	0	1	0	1	-1	
9	8.0022	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
10	7.98608	2	0	0	0	0	0	0	-1	0	0	0	1	0	0	-1	
11	7.98608	1	0	0	0	0	0	0	-1	0	0	0	1	0	0	-1	
12	8.01026	2	0	0	0	0	0	0	0	0	0	-1	2	0	0	-1	
13	7.9619	1	0	0	0	0	0	0	0	0	0	0	2	0	0	-2	
14	8.01026	1	0	0	0	0	0	0	-1	0	0	0	1	0	0	-1	
15	7.98608	1	0	0	0	0	0	0	-1	0	0	0	2	0	0	0	
16	8.0022	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
17	7.98608	0	0	0	0	0	0	0	0	0	0	0	1	1	0	-2	
18	7.96996	1	0	0	0	0	0	0	0	0	0	0	2	0	-1	-2	
19	8.01832	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	
20	7.9619	1	0	1	0	0	0	0	1	0	0	0	1	0	0	-2	
21	7.98608	1	0	0	0	0	0	0	0	0	0	0	1	0	1	-1	
22	7.98608	1	0	0	0	0	0	0	0	0	0	0	0	0	1	-2	
23	8.0022	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	
24	7.97802	1	0	0	0	0	0	0	-1	0	0	0	1	0	-1	-1	
25	8.01026	1	0	0	0	0	0	0	0	0	0	-1	1	0	0	-1	
26	7.99414	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	
27	7.96996	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
28	7.99414	1	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	
29	8.01026	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	
30	7.96996	1	0	0	0	0	0	0	1	0	0	0	2	0	-1	-1	
31	7.99414	1	0	0	0	0	0	0	0	0	0	0	1	0	1	-1	
32	7.99414	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	
33	7.96996	1	0	0	0	0	0	0	-1	0	0	0	0	0	1	-2	
34	8.01026	1	0	0	0	0	0	0	-1	0	0	-1	0	0	0	-1	
35	7.97802	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	
36	7.96996	1	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	
37	7.98608	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	
38	7.98608	2	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
39	7.94579	1	0	0	0	0	0	0	0	0	0	0	2	0	0	-1	
40	7.98608	2	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
41	8.01026	1	0	0	-1	0	1	0	0	0	0	-1	1	0	0	-1	
42	7.98608	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-2	
43	7.95385	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
44	7.99414	2	0	0	0	0	0	0	0	0	0	0	0	0	-1	-2	
45	7.98608	1	0	0	0	0	0	0	0	0	0	0	2	0	1	-1	
46	7.98608	2	0	0	0	0	0	1	0	0	0	0	0	0	-1	-2	
47	7.98608	2	0	0	0	0	0	0	1	0	0	0	1	0	0	-1	
48	7.97802	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
49	7.9619	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	
50	7.99414	1	0	0	0	0	0	0	0	0	0	0	2	0	1	-2	
51	8.04249	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
52	7.96996	1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	
53	7.97802	1	0	0	-1	0	0	0	0	0	0	0	0	0	-1	-1	
54	7.94579	1	0	0	0	0	0	-1	0	0	0	0	1	0	1	0	
55	7.98608	1	0	0	0	0	0	0	0	0	0	0	2	0	-1	-1	
56	8.0022	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	
57	7.97802	0	0	0	0	0	0	0	1	0	0	0	2	0	1	-2	
58	7.97802	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	
59	7.94579	1	0	0	0	0	0	0	1	0	0	0	0	0	-1	-1	
60	7.98608	1	0	0	0	0	0	0	0	0	0	0	2	0	0	-1	
61	7.94579	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	
62	7.95385	1	0	0	0	0	0	0	-1	0	0	0	2	0	1	-1	
63	7.98608	1	0	0	0	0	0	0	1	0	0	0	1	0	0	-2	
64	7.97802	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	
65	7.98608	1	0	0	0	0	0	0	-1	0	0	0	1	0	-1	-1	
66	7.98608	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	
67	7.98608	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	
68	7.99414	1	0	0	0	0	0	-1	-1	0	0	0	2	0	0	-1	
69	7.9619	1	0	0	0	0	0	0	1	0	0	0	1	0	1	-1	
70	7.98608	1	0	0	0	0	0	0	-1	0	0	0	0	0	1	-2	
71	7.96996	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
72	8.0022	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-2	
73	7.98608	1	0	0	1	0	0	0	-1	0	0	0	0	0	-1	-1	
74	7.96996	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
75	7.96996	2	0	0	0	0	0	0	1	0	0	0	1	0	-1	-2	
76	7.98608	2	0	0	0	0	-1	0	0	0	0	0	1	1	0	0	
77	7.95385	1	0	0	0	0	0	0	1	0	0	0	1	0	1	-1	
78	7.98608	1	0	0	0	0	0	0	0	0	0	0	1	0	1	-2	
79	7.97802	1	0	0	0	0	0	0	0	0	0	0	1	0	1	-1	
80	7.96996	2	0	0	0	0	0	0	0	0	0	0	2	0	-1	-1	
81	7.97802	1	0	0	0	0	0	0	1	0	0	0	0	0	1	-1	
82	8.0022	1	0	0	0	0	0	0	0	0	0	-1	2	1	0	-1	
83	7.97802	2	0	0	0	0	-1	0	1	0	0	0	0	0	1	0	
84	7.98608	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
85	7.96996	1	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	
86	7.97802	1	0	0	1	0	0	0	1	0	0	0	0	0	1	-2	
87	7.98608	1	0	0	0	0	0	0	0	0	0	-1	1	0	1	-1	
88	7.97802	1	0	0	0	0	0	0	1	0	0	0	1	-1	0	-1	
89	7.98608	1	0	0	0	0	0	0	0	0	0	0	2	0	0	-1	
90	7.97802	1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	0	
91	7.96996	1	0	0	0	0	0	0	-1	0	0	0	2	0	0	-1	
92	7.9619	1	0	0	0	0	0	0	0	0	0	0	2	0	-1	-2	
93	7.9619	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
94	7.97802	1	0	0	0	0	0	0	0	0	0	0	2	0	-1	-1	
95	7.96996	1	0	0	0	0	0	0	1	0	0	0	2	0	0	-2	
96	8.01026	1	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	
97	7.95385	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	
98	7.98608	1	0	0	0	0	0	0	1	0	0	0	1	0	0	-1	
99	7.96996	1	0	0	0	0	0	0	-1	0	0	0	1	0	0	-1	
100	7.98608	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
101	7.95385	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	
102	7.96996	1	0	0	0	0	0	0	1	0	0	0	1	0	-1	-1	
103	7.99414	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	
104	7.98608	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	
105	7.9619	1	0	0	0	0	0	0	0	0	0	0	1	-1	1	-1	
106	7.94579	1	0	0	0	0	0	0	0	0	0	1	1	0	0	-1	
107	7.96996	1	0	0	0	0	0	1	0	0	0	0	1	0	0	-1	
108	7.96996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	
109	7.99414	1	0	0	0	0	0	0	0	0	0	0	1	1	1	-1	
110	7.95385	1	0	0	0	0	0	0	1	0	0	0	2	0	1	-1	
111	7.98608	1	0	0	0	0	0	0	0	0	0	0	1	-1	-1	0	
112	7.98608	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
113	7.95385	1	0	0	0	0	0	0	0	0	0	0	1	0	1	-2	
114	7.97802	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
115	7.96996	1	0	0	0	0	0	0	1	0	0	1	1	0	0	-2	
116	8.0022	1	0	0	0	0	0	0	-1	0	0	0	1	0	-1	0	
117	7.99414	1	0	0	0	0	0	0	1	0	0	0	2	0	0	-1	
118	7.96996	1	0	0	0	0	0	0	1	0	0	0	0	0	1	-1	
119	7.98608	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	
120	8.0022	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-2	
121	7.99414	2	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
122	8.01832	1	0	0	0	0	0	0	-1	0	0	0	1	0	1	-1	
123	7.97802	1	0	0	0	0	0	0	1	0	0	0	1	0	0	-1	
124	7.98608	2	0	0	0	0	0	0	1	0	0	-1	1	0	0	-1	
125	7.97802	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	
126	7.97802	1	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	
127	7.97802	1	0	0	-1	0	0	0	0	0	0	-1	2	0	0	-1	
128	8.0022	1	0	0	0	0	0	0	1	0	0	0	0	0	1	-2	
129	7.98608	1	0	0	0	0	0	1	0	0	0	1	1	0	-1	-1	
130	7.9619	1	0	0	-1	0	0	0	1	0	0	0	2	0	1	-1	
131	7.97802	1	0	0	0	0	0	0	1	0	0	0	1	0	-1	-1	
132	8.0022	1	0	0	0	0	0	0	1	0	0	0	1	0	0	-1	
133	8.01026	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
134	8.0022	1	0	0	0	0	1	0	-1	0	0	0	2	0	-1	0	
135	7.98608	1	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	
136	7.9619	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	
137	7.98608	1	0	0	0	0	0	0	-1	0	0	0	1	0	-1	-1	
138	7.95385	1	0	0	0	0	0	0	-1	0	0	0	2	0	-1	0	
139	7.94579	1	0	0	0	0	0	0	0	0	0	0	0	0	1	-2	
140	7.96996	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
141	8.01026	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
142	8.01832	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	
143	7.99414	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	
144	7.9619	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	
145	7.96996	1	0	0	0	0	0	0	-1	0	0	0	2	0	0	-2	
146	7.96996	1	0	0	0	0	0	0	0	0	0	0	2	0	0	-1	
147	8.01026	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	
148	7.9619	1	0	0	0	0	0	0	1	0	0	0	1	-1	0	-1	
149	7.9619	1	0	0	0	0	0	0	-1	0	0	0	1	0	0	-1	
150	7.96996	1	0	0	0	0	0	0	1	0	-1	0	0	0	1	-1	
151	7.95385	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	-2	
152	7.9619	1	0	0	0	0	0	0	1	0	0	0	1	0	0	-1	
153	7.95385	1	0	0	0	0	0	0	1	0	0	0	1	0	-1	-1	
154	7.98608	1	0	0	0	0	0	0	-1	0	0	0	1	0	0	-1	
155	8.01832	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
156	7.97802	2	0	0	0	0	0	0	-1	0	0	0	1	0	0	-1	
157	7.97802	1	0	0	0	0	0	0	-1	0	0	0	2	0	-1	0	
158	7.94579	2	0	0	0	0	0	0	-1	0	0	0	1	0	0	-1	
159	7.98608	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
160	7.9619	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	
161	7.98608	1	0	0	0	0	0	0	0	0	0	0	2	0	-1	0	
162	7.98608	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
163	7.95385	1	0	0	0	0	0	0	0	0	-1	0	1	0	-1	-1	
164	7.97802	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	-1	
165	7.97802	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	
166	7.97802	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	
167	7.98608	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	
168	7.9619	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	
169	8.01026	1	0	0	0	0	0	0	-1	0	0	0	1	0	-1	0	
170	7.96996	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	
171	8.0022	1	0	0	0	0	0	1	-1	0	0	0	2	0	0	-2	
172	7.99414	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-2	
173	7.9619	2	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
174	7.99414	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	
175	7.9619	1	0	0	0	0	0	0	0	0	0	0	2	0	0	-1	
176	7.97802	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	
177	7.97802	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-2	
178	7.98608	1	0	0	0	0	0	1	0	0	0	0	0	0	1	-1	
179	7.96996	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
180	7.97802	1	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	
181	7.99414	1	0	0	0	0	0	0	-1	0	0	0	2	0	0	-2	
182	7.96996	1	0	0	0	0	0	0	0	0	0	-1	1	0	-1	-1	
183	7.97802	1	0	0	0	0	0	0	0	0	0	0	2	0	0	-1	
184	8.0022	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	
185	7.98608	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	
186	7.96996	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	
187	7.99414	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-2	
188	7.98608	1	0	0	0	0	0	0	1	0	0	0	2	0	0	-1	
189	7.99414	1	0	0	0	0	0	0	0	0	0	0	2	0	0	-1	
190	7.97802	1	0	0	0	0	0	0	1	0	0	0	2	0	-1	-1	
191	7.95385	1	0	0	0	0	0	0	-1	0	0	0	1	0	1	0	
192	7.99414	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	
193	7.98608	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	
194	7.97802	1	0	0	0	0	0	0	-1	0	0	0	1	0	0	-2	
195	7.97802	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	
196	7.96996	1	0	0	0	0	0	0	0	0	0	0	2	0	-1	0	
197	7.97802	1	0	0	0	0	0	0	-1	0	0	0	2	0	0	-1	
198	7.97802	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-2	
199	8.01026	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
200	7.94579	1	0	0	0	0	0	0	0	0	0	0	2	0	-1	-1	
201	7.98608	1	0	0	0	0	0	0	1	0	0	0	2	0	-1	-2	
202	8.01026	1	0	0	0	0	0	0	-1	0	0	1	1	0	0	0	
203	7.9619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	
204	7.98608	1	0	0	0	0	0	0	0	0	0	1	1	0	-1	-1	
205	7.97802	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	-1	
206	7.98608	1	0	0	0	0	0	0	0	0	0	0	2	0	0	-1	
207	8.0022	1	0	0	0	0	0	0	1	0	0	0	1	0	0	-1	
208	7.98608	1	0	0	0	0	0	0	-1	0	0	0	1	0	1	-1	
209	7.95385	2	0	0	0	0	0	0	0	0	0	0	1	0	-1	-2	
210	7.96996	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	
211	7.96996	0	0	0	0	0	0	0	0	0	0	0	2	0	1	-1	
212	7.97802	1	0	0	0	0	0	0	0	0	0	0	2	0	-1	-2	
213	7.97802	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-2	
214	8.0022	2	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	
215	7.98608	1	0	0	0	0	0	1	0	0	0	0	1	0	0	-2	
216	7.98608	2	0	0	0	0	0	0	0	0	0	0	2	0	-1	-2	
217	7.97802	1	0	0	0	0	0	0	-1	0	0	0	1	0	0	-1	
218	7.97802	1	0	0	0	0	0	0	1	0	0	0	1	-1	-1	-1	
219	7.97802	1	0	0	0	0	0	0	1	0	0	0	1	0	0	-1	
220	7.98608	1	0	0	0	0	0	0	1	0	0	0	1	0	0	-2	
221	7.98608	2	0	0	0	0	0	0	1	0	0	1	1	0	-1	0	
222	8.0022	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	-1	
223	8.01832	1	0	0	0	0	0	0	0	0	-1	0	0	0	1	-2	
224	7.99414	1	0	0	0	0	0	0	0	0	0	0	0	1	-1	-2	
225	7.99414	1	0	0	0	0	0	0	1	0	0	0	2	0	0	-1	
226	8.0022	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
227	7.95385	1	0	0	0	0	0	0	-1	0	-1	0	2	0	0	-1	
228	8.0022	1	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	
229	8.0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	
230	7.97802	1	0	0	0	0	0	0	1	0	0	0	2	0	1	-1	
231	7.9619	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	
232	8.01026	0	0	0	0	0	0	0	0	0	0	0	2	0	1	-1	
233	7.9619	1	0	0	0	0	0	0	-1	0	0	0	2	1	0	0	
234	7.9619	1	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	
235	7.98608	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
236	7.99414	1	0	0	0	0	-1	0	0	0	0	0	1	0	-1	-2	
237	7.99414	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
238	7.96996	0	0	0	0	0	0	0	0	0	0	0	2	0	-1	-2	
239	7.98608	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-2	
240	7.98608	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	
241	7.98608	-1	0	0	0	0	0	0	0	0	0	0	1	0	0	-2	
242	7.99414	-2	0	0	0	0	0	0	-1	0	0	0	1	0	0	-1	
243	7.98608	-2	0	0	0	0	0	0	0	0	0	0	1	0	0	-2	
244	7.98608	-4	0	0	0	0	0	0	-1	0	0	0	2	0	-1	-1	
245	7.98608	-3	0	0	0	0	0	0	0	0	0	0	2	0	1	0	
246	7.99414	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	
247	7.9619	0	0	0	0	0	0	0	0	0	0	0	1	0	-1	0	
248	7.98608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2	
249	7.99414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	
250	7.95385	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	
251	7.9619	0	0	0	0	0	0	0	-1	0	-1	0	2	0	-1	-2	
252	8.02637	0	0	0	0	0	0	0	0	0	0	0	1	1	0	-2	
253	8.01026	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	-1	
254	7.96996	-1	0	0	0	0	0	0	-1	0	0	0	2	0	1	0	
255	7.99414	0	0	0	0	0	0	0	-1	0	0	0	2	0	0	-1	
256	7.98608	-1	0	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	
257	7.98608	-1	0	0	0	0	0	0	0	0	0	0	2	0	0	-1	
258	8.01026	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
259	7.99414	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
260	7.9619	0	0	0	0	0	0	0	1	0	0	0	2	0	0	-1	
261	7.99414	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	-1	
262	7.97802	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
263	7.98608	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-2	
264	7.96996	1	0	0	0	0	0	0	0	0	0	0	2	0	-1	-1	
265	7.97802	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-2	
266	7.98608	0	0	0	0	0	0	-1	-1	0	0	0	1	0	1	0	
267	8.01832	0	0	0	0	0	0	0	1	0	0	0	2	0	1	-2	
268	7.98608	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	-2	
269	8.01026	1	0	0	0	0	0	0	0	0	0	-1	1	0	1	-1	
270	7.97802	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-2	
271	7.98608	0	0	0	0	0	0	0	-1	0	0	0	2	0	0	-1	
272	7.9619	1	0	0	0	0	0	0	1	0	0	0	2	0	-1	-1	
273	7.96996	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
274	7.96996	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
275	7.98608	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	
276	7.99414	1	0	0	0	0	0	0	0	0	0	0	1	0	1	-1	
277	7.98608	0	0	0	0	0	0	0	1	0	0	0	1	0	0	-1	
278	7.98608	1	0	0	0	0	0	0	-1	0	0	0	1	0	-1	0	
279	8.01026	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	
280	7.96996	1	0	0	0	0	-1	0	1	0	0	0	1	0	0	-1	
281	7.9619	1	0	0	0	0	0	0	0	0	0	0	2	0	0	-1	
282	7.99414	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-2	
283	7.96996	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
284	7.95385	1	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	
285	7.9619	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	
286	7.9619	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	
287	7.97802	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
288	7.98608	1	0	0	0	0	0	0	0	0	0	0	2	0	-1	-2	
289	7.97802	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	
290	7.94579	2	0	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	
291	7.97802	1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	
292	7.97802	2	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	
293	7.96996	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	
294	7.96996	1	0	0	0	0	0	0	1	0	0	0	1	0	0	-1	
295	8.01026	1	0	0	0	0	0	0	1	0	0	0	1	0	1	-2	
296	8.02637	1	0	0	0	0	0	0	1	0	0	0	1	0	1	-1	
297	7.9619	2	0	0	0	0	1	0	0	0	0	0	1	0	1	-2	
298	7.99414	2	0	0	0	0	0	0	0	0	0	0	2	0	0	-1	
299	8.0022	1	0	0	0	0	0	0	1	0	0	1	1	0	-1	0	
300	7.98608	1	0	0	0	0	0	0	1	0	0	0	1	1	0	-1	
301	7.97802	1	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	
302	7.9619	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	
303	7.98608	1	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	
304	8.0022	1	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	
305	7.9619	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	
306	7.97802	1	0	0	-1	0	0	0	0	0	0	-1	1	0	-1	0	
307	8.01832	2	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
308	7.99414	1	0	0	0	0	0	0	0	0	0	0	2	0	1	-1	
309	7.9619	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	
310	7.96996	1	0	0	0	0	0	0	0	0	0	0	1	0	0	-1	
311	8.01832	1	0	0	0	0	0	0	-1	0	0	1	2	0	0	-1	
312	7.98608	1	0	0	0	0	0	0	1	0	0	0	2	0	0	-1	
313	7.94579	2	0	0	0	0	0	0	1	0	0	0	1	0	0	-2	
314	7.9619	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
315	7.97802	1	0	0	0	0	0	0	0	0	0	0	1	0	-1	-1	
316	7.96996	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
317	7.98608	1	0	0	0	0	0	0	-1	0	0	0	2	0	0	-1	
318	8.01026	1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	
