Index	Current	S11	S12	S13	S14	S21	S22	S23	S24	S31	S32	S33	S34	S41	S42	S43	
0	8.0022	-5	-1	3	7	5	5	3	2	-1	5	4	7	8	10	7	
1	7.99414	-4	-1	3	7	6	6	3	3	-1	5	4	7	7	10	7	
2	8.0022	-4	-1	3	7	6	6	4	2	-1	5	4	7	7	10	7	
3	8.0022	-4	-1	3	7	6	5	4	2	-1	5	4	7	7	10	7	
4	7.97802	-4	-1	3	6	5	5	3	3	0	5	4	7	8	10	7	
5	7.96996	-4	-1	3	6	5	6	3	2	-1	4	4	7	7	10	7	
6	8.01026	-4	-1	3	6	5	6	3	3	-1	5	4	7	7	10	7	
7	7.97802	-5	-1	3	6	5	5	3	2	-1	5	4	7	7	10	7	
8	8.0022	-4	-1	3	7	5	5	3	3	0	5	4	7	7	10	7	
9	7.97802	-5	-1	3	6	5	5	4	2	-1	5	4	7	8	10	7	
10	7.99414	-4	-1	3	7	5	6	4	2	-1	5	4	7	7	10	6	
11	7.98608	-4	-1	2	6	5	5	3	3	-1	5	4	7	7	10	7	
12	8.01832	-4	-1	3	6	5	6	3	3	-1	5	4	7	7	10	6	
13	7.94579	-5	-1	3	6	5	5	4	3	-1	5	4	7	7	10	6	
14	7.98608	-4	-1	3	6	4	6	3	3	-1	5	4	7	7	10	7	
15	8.01026	-4	-1	3	7	5	5	3	3	-1	4	4	7	7	10	6	
16	8.01832	-4	-1	3	7	6	6	3	2	-1	5	4	7	7	10	6	
17	8.01832	-5	-1	3	6	5	6	3	3	-1	5	4	7	7	10	7	
18	8.0022	-4	-1	2	7	6	5	3	3	-1	5	4	7	7	10	6	
19	7.97802	-5	-1	3	6	5	6	3	3	-1	5	4	7	7	10	6	
20	7.98608	-4	-1	3	7	4	5	3	3	0	5	4	7	7	10	6	
21	8.0022	-5	-1	3	6	4	6	3	3	-1	5	4	7	7	10	7	
22	8.01026	-4	-1	3	7	6	5	3	3	-1	5	4	7	7	10	6	
23	8.0022	-5	-1	3	6	5	5	3	3	-1	5	4	7	7	10	6	
24	7.97802	-5	-1	3	7	4	6	3	3	-1	4	4	7	8	10	6	
25	7.98608	-4	-1	3	7	5	5	3	3	-1	5	4	7	8	10	6	
26	7.99414	-4	-1	2	7	5	5	3	3	-1	5	4	7	7	10	6	
27	8.01026	-4	-1	3	6	5	5	3	3	-1	4	4	7	7	10	6	
28	7.98608	-4	-2	2	7	4	5	3	3	-1	5	4	7	7	10	7	
29	7.96996	-4	-1	2	6	4	6	3	3	-1	4	4	7	7	10	6	
30	7.97802	-5	-1	2	7	5	6	3	2	-1	5	4	7	7	10	6	
31	8.01026	-5	-1	2	6	4	6	3	2	-1	4	4	7	7	10	6	
32	8.0022	-4	-2	2	7	5	5	3	3	-1	5	4	7	7	10	6	
33	8.01026	-4	-1	2	6	4	5	3	3	-1	5	4	7	7	10	6	
34	8.0022	-4	-1	2	6	5	6	3	3	-1	4	4	7	8	10	7	
